time_stamp,humidity,temperature,pressure,voc,pm2.5_atm_a,pm2.5_atm_b,pm2.5_atm,pm2.5_atm_a_b_diff,pm2.5_epa_a,pm2.5_epa_b,pm2.5_epa,pm2.5_epa_a_b_diff,dewpoint,dewpoint_temp_delta,pm2.5_atm_epa_diff,datetime,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,pm2.5_atm_diff_LOC20_215409.csv,pm2.5_atm_a_b_diff_LOC20_215409.csv,pm2.5_atm_a_b_max_diff_LOC20_215409.csv,pm2.5_epa_diff_LOC20_215409.csv,pm2.5_epa_a_b_diff_LOC20_215409.csv,pm2.5_epa_a_b_max_diff_LOC20_215409.csv,pm2.5_atm_LOC20_215409.csv,pm2.5_epa_LOC20_215409.csv,pm2.5_atm_diff_perc_LOC20_215409.csv,pm2.5_epa_diff_perc_LOC20_215409.csv,humidity_LOC20_215409.csv,humidity_diff_LOC20_215409.csv,temperature_LOC20_215409.csv,dewpoint_LOC20_215409.csv,voc_LOC20_215409.csv,pm2.5_atm_epa_diff_LOC20_215409.csv,pm2.5_atm_diff_LOC19_215403.csv,pm2.5_atm_a_b_diff_LOC19_215403.csv,pm2.5_atm_a_b_max_diff_LOC19_215403.csv,pm2.5_epa_diff_LOC19_215403.csv,pm2.5_epa_a_b_diff_LOC19_215403.csv,pm2.5_epa_a_b_max_diff_LOC19_215403.csv,pm2.5_atm_LOC19_215403.csv,pm2.5_epa_LOC19_215403.csv,pm2.5_atm_diff_perc_LOC19_215403.csv,pm2.5_epa_diff_perc_LOC19_215403.csv,humidity_LOC19_215403.csv,humidity_diff_LOC19_215403.csv,temperature_LOC19_215403.csv,dewpoint_LOC19_215403.csv,voc_LOC19_215403.csv,pm2.5_atm_epa_diff_LOC19_215403.csv,pm2.5_atm_diff_LOC18_215377.csv,pm2.5_atm_a_b_diff_LOC18_215377.csv,pm2.5_atm_a_b_max_diff_LOC18_215377.csv,pm2.5_epa_diff_LOC18_215377.csv,pm2.5_epa_a_b_diff_LOC18_215377.csv,pm2.5_epa_a_b_max_diff_LOC18_215377.csv,pm2.5_atm_LOC18_215377.csv,pm2.5_epa_LOC18_215377.csv,pm2.5_atm_diff_perc_LOC18_215377.csv,pm2.5_epa_diff_perc_LOC18_215377.csv,humidity_LOC18_215377.csv,humidity_diff_LOC18_215377.csv,temperature_LOC18_215377.csv,dewpoint_LOC18_215377.csv,voc_LOC18_215377.csv,pm2.5_atm_epa_diff_LOC18_215377.csv,pm2.5_atm_diff_LOC16_215393.csv,pm2.5_atm_a_b_diff_LOC16_215393.csv,pm2.5_atm_a_b_max_diff_LOC16_215393.csv,pm2.5_epa_diff_LOC16_215393.csv,pm2.5_epa_a_b_diff_LOC16_215393.csv,pm2.5_epa_a_b_max_diff_LOC16_215393.csv,pm2.5_atm_LOC16_215393.csv,pm2.5_epa_LOC16_215393.csv,pm2.5_atm_diff_perc_LOC16_215393.csv,pm2.5_epa_diff_perc_LOC16_215393.csv,humidity_LOC16_215393.csv,humidity_diff_LOC16_215393.csv,temperature_LOC16_215393.csv,dewpoint_LOC16_215393.csv,voc_LOC16_215393.csv,pm2.5_atm_epa_diff_LOC16_215393.csv,pm2.5_atm_diff_LOC17_215405.csv,pm2.5_atm_a_b_diff_LOC17_215405.csv,pm2.5_atm_a_b_max_diff_LOC17_215405.csv,pm2.5_epa_diff_LOC17_215405.csv,pm2.5_epa_a_b_diff_LOC17_215405.csv,pm2.5_epa_a_b_max_diff_LOC17_215405.csv,pm2.5_atm_LOC17_215405.csv,pm2.5_epa_LOC17_215405.csv,pm2.5_atm_diff_perc_LOC17_215405.csv,pm2.5_epa_diff_perc_LOC17_215405.csv,humidity_LOC17_215405.csv,humidity_diff_LOC17_215405.csv,temperature_LOC17_215405.csv,dewpoint_LOC17_215405.csv,voc_LOC17_215405.csv,pm2.5_atm_epa_diff_LOC17_215405.csv
2024-10-03 00:00:00+00:00,38.4,70.0,977.748,74.354,3.032,2.718,2.875,0.054608695652173925,4.028688000000001,3.8641520000000003,3.9464200000000007,0.02084623532214012,43.501035149795996,26.498964850204004,-1.0714200000000007,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,-0.07099999999999973,0.031228784792939536,0.054608695652173925,0.35931600000000063,0.013439253503661952,0.02084623532214012,2.9459999999999997,3.587104,-0.02469565217391295,0.09104859594265197,43.0,-4.600000000000001,68.0,44.67118706623563,75.868,-0.6411040000000003,0.1349999999999998,0.06350364963503655,0.06350364963503655,0.4845000000000006,0.026336830429357097,0.026336830429357097,2.74,3.46192,0.04695652173913036,0.12276949741791307,43.2,-4.800000000000004,70.0,46.6015420694538,81.244,-0.7219199999999999,-0.05400000000000027,0.0283373164902697,0.054608695652173925,0.6095840000000003,0.013033903973704455,0.02084623532214012,2.9290000000000003,3.3368360000000004,-0.018782608695652268,0.15446505947162245,45.8,-7.399999999999999,66.2,44.695821990120415,87.49,-0.4078360000000001,-0.3250000000000002,0.01125000000000001,0.054608695652173925,0.31242000000000036,0.005190974133186569,0.02084623532214012,3.2,3.6340000000000003,-0.11304347826086962,0.07916542081177379,44.0,-5.600000000000001,67.6,44.91361803136287,89.612,-0.43400000000000016,-0.028000000000000025,0.02445745780227357,0.054608695652173925,0.46804800000000046,0.010695808268925812,0.02084623532214012,2.903,3.4783720000000002,-0.009739130434782617,0.11860065578422985,44.0,-5.600000000000001,68.0,45.27615885895189,85.84,-0.5753720000000002
2024-10-03 00:10:00+00:00,39.2,70.0,977.852,76.392,3.422,3.686,3.5540000000000003,0.037141249296567216,4.164088,4.302424,4.233256,0.01633919611759845,44.040740252650934,25.959259747349066,-0.6792559999999996,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,-0.1559999999999997,0.002156334231805932,0.037141249296567216,0.3147759999999993,0.0010698025765092517,0.01633919611759845,3.71,3.9184800000000006,-0.04389420371412484,0.07435789378199648,43.8,-4.599999999999994,67.6,44.793794997997395,76.654,-0.20848000000000066,0.13700000000000045,0.0008779631255486953,0.037141249296567216,0.48554799999999965,0.00041945637173443844,0.01633919611759845,3.417,3.7477080000000003,0.03854811480022522,0.11469847323195187,44.0,-4.799999999999997,69.8,46.907228830570226,82.046,-0.33070800000000045,0.17400000000000038,0.004733727810650892,0.037141249296567216,0.7118159999999993,0.0023808442000999436,0.01633919611759845,3.38,3.5214400000000006,0.048958919527293296,0.1681485835016827,46.4,-7.199999999999996,66.0,44.85570095488484,87.794,-0.14144000000000068,0.14200000000000035,0.029308323563892173,0.037141249296567216,0.5743679999999998,0.01432129105892288,0.01633919611759845,3.412,3.658888,0.039954980303883045,0.1356799588779889,45.0,-5.799999999999997,67.0,44.96031731038752,91.3,-0.24688800000000022,-0.07999999999999963,0.036323610346725405,0.037141249296567216,0.44079999999999986,0.018238313114245727,0.018238313114245727,3.634,3.792456,-0.0225098480585255,0.10412788643068122,44.8,-5.599999999999994,67.0,44.84313796312104,86.432,-0.15845600000000015
2024-10-03 00:20:00+00:00,39.4,69.6,977.838,91.816,4.222,3.962,4.0920000000000005,0.03176930596285438,4.566048,4.429808,4.497928,0.015144751094281624,43.816401730483776,25.78359826951622,-0.4059279999999994,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,0.35600000000000076,0.015524625267665968,0.03176930596285438,0.6003040000000004,0.007797571033019085,0.015144751094281624,3.7359999999999998,3.8976239999999995,0.08699902248289362,0.13346234088229078,44.2,-4.800000000000004,67.4,44.85158350064545,82.558,-0.16162399999999977,0.6190000000000007,0.006622516556291365,0.03176930596285438,0.7898359999999998,0.0032501890460107713,0.015144751094281624,3.473,3.708092,0.15127077223851432,0.17559996513950418,44.8,-5.399999999999999,69.2,46.84119921828819,87.918,-0.2350920000000003,0.4280000000000008,0.02565502183406116,0.03176930596285438,0.8793920000000002,0.01361213485232701,0.015144751094281624,3.6639999999999997,3.6185359999999998,0.1045943304007822,0.1955104661524151,47.0,-7.600000000000001,66.0,45.19387813325522,94.282,0.04546399999999995,0.3470000000000004,0.011481975967957256,0.03176930596285438,0.7335079999999996,0.0059855170251991,0.015144751094281624,3.745,3.7644200000000003,0.08479960899315747,0.16307686561456733,45.8,-6.399999999999999,67.0,45.42448229394187,94.12,-0.019420000000000215,0.2400000000000002,0.03738317757009343,0.03738317757009343,0.6257199999999998,0.019486556507295055,0.019486556507295055,3.8520000000000003,3.872208,0.05865102639296192,0.1391129426704918,45.2,-5.800000000000004,67.2,45.25890441685601,92.254,-0.02020799999999978
2024-10-03 00:30:00+00:00,40.0,69.6,977.854,101.18,3.502,3.362,3.432,0.02039627039627035,4.137048,4.063688,4.100368,0.008945538546784105,44.2124267994121,25.387573200587894,-0.6683679999999996,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,0.041999999999999815,0.05722713864306783,0.05722713864306783,0.38404799999999994,0.027353941533560074,0.027353941533560074,3.39,3.7163199999999996,0.012237762237762184,0.09366183718144322,44.2,-4.200000000000003,67.0,44.48880654301533,82.148,-0.3263199999999995,0.20999999999999996,0.025450031036623168,0.025450031036623168,0.5410399999999997,0.01207194166988822,0.01207194166988822,3.222,3.559328,0.06118881118881118,0.13194913237055791,45.0,-5.0,69.0,46.7777200574431,87.966,-0.33732799999999985,0.121,0.02869223799456357,0.02869223799456357,0.7012839999999989,0.014645122038760944,0.014645122038760944,3.311,3.3990840000000007,0.035256410256410256,0.17102952710585953,47.4,-7.399999999999999,65.8,45.23429573799359,93.376,-0.08808400000000072,0.1629999999999998,0.06332211685530745,0.06332211685530745,0.5853719999999996,0.030858641090914473,0.030858641090914473,3.269,3.514996,0.04749417249417244,0.1427608448802643,45.8,-5.799999999999997,66.8,45.24232778211896,96.164,-0.24599599999999988,0.2410000000000001,0.045440300846129746,0.045440300846129746,0.6090039999999997,0.021762268271082637,0.021762268271082637,3.191,3.491364,0.07022144522144526,0.14852423002032983,45.6,-5.600000000000001,67.0,45.309116339521125,91.85,-0.3003640000000001
2024-10-03 00:40:00+00:00,39.4,69.6,977.946,88.516,2.59,2.424,2.5069999999999997,0.03310729956122855,3.71088,3.6238960000000002,3.667388,0.011859121532818416,43.816401730483776,25.78359826951622,-1.1603880000000002,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,-0.02600000000000069,0.015396762731938381,0.03310729956122855,0.41737599999999997,0.006287976782854925,0.011859121532818416,2.5330000000000004,3.250012,-0.010370961308336934,0.11380742915666409,44.4,-5.0,67.0,44.607386538441844,74.938,-0.7170119999999995,0.19999999999999973,0.006501950585175607,0.03310729956122855,0.5530400000000002,0.0025238027349544683,0.011859121532818416,2.307,3.1143479999999997,0.07977662544874342,0.1507994245495705,44.6,-5.200000000000003,69.0,46.54100019079568,80.418,-0.8073479999999997,0.24499999999999966,0.019451812555260847,0.03310729956122855,0.8179799999999995,0.008091505323211061,0.011859121532818416,2.262,2.8494080000000004,0.09772636617471069,0.22304157618446685,47.4,-8.0,65.8,45.23429573799359,85.56,-0.5874080000000004,0.24499999999999966,0.0769230769230769,0.0769230769230769,0.66282,0.030345793471806905,0.030345793471806905,2.262,3.004568,0.09772636617471069,0.18073353569352357,45.6,-6.200000000000003,66.8,45.12705500872314,86.168,-0.7425679999999999,0.3299999999999996,0.0059715204409737715,0.03310729956122855,0.7073599999999995,0.0023013295820174056,0.011859121532818416,2.177,2.9600280000000003,0.13163143199042668,0.19287841919098814,45.6,-6.200000000000003,67.0,45.309116339521125,83.938,-0.7830280000000003
2024-10-03 00:50:00+00:00,40.0,69.2,978.072,76.97,2.264,2.018,2.141,0.05744978981784213,3.488336,3.359432,3.423884,0.018824235867803917,43.85401990201537,25.345980097984636,-1.2828840000000001,2024-10-03 00:00:00,0.0,97.74,0.85,15.7,0.0,Light,1.0,-0.2839999999999998,0.04164948453608247,0.05744978981784213,0.26494399999999985,0.016753721184954436,0.018824235867803917,2.425,3.1589400000000003,-0.13264829518916385,0.07738112622974372,44.8,-4.799999999999997,67.0,44.84313796312104,71.758,-0.7339400000000005,-0.14400000000000013,0.035448577680525145,0.05744978981784213,0.3900239999999999,0.01399009842247175,0.018824235867803917,2.285,3.0338600000000002,-0.06725829051844938,0.11391273769788927,45.4,-5.399999999999999,69.0,47.012589817099474,77.306,-0.7488600000000001,-0.23599999999999977,0.024821203197307507,0.05744978981784213,0.5659360000000002,0.010817551613955168,0.018824235867803917,2.377,2.857948,-0.11022886501634739,0.16529064652891284,48.0,-8.0,65.2,45.01632088558727,81.13,-0.48094800000000015,-0.04999999999999982,0.012323140118667236,0.05744978981784213,0.4910000000000001,0.004823920755133871,0.018824235867803917,2.191,2.932884,-0.02335357309668371,0.14340439103661223,46.0,-6.0,66.2,44.81037275787072,83.214,-0.7418840000000002,-0.33099999999999996,0.02184466019417469,0.05744978981784213,0.3609960000000001,0.009238339762994957,0.018824235867803917,2.472,3.062888,-0.15460065390004668,0.10543464673452724,46.2,-6.200000000000003,66.6,45.289199109722,80.15,-0.5908880000000001
2024-10-03 01:00:00+00:00,40.0,69.0,978.212,69.734,2.45,2.636,2.543,0.03657097915847423,3.5858,3.6832640000000003,3.634532,0.013408053636616823,43.67480435766604,25.32519564233396,-1.091532,2024-10-03 01:00:00,0.0,97.77,0.78,37.7,0.0,Light,1.0,0.004999999999999893,0.04097714736012603,0.04097714736012603,0.4336199999999999,0.017025147832867595,0.017025147832867595,2.5380000000000003,3.200912,0.001966181675186745,0.11930559422781252,45.0,-5.0,66.6,44.59675062932886,74.736,-0.662912,0.2370000000000001,0.0,0.03657097915847423,0.5551880000000002,0.0,0.013408053636616823,2.306,3.079344,0.09319701140385375,0.15275364200948024,45.0,-5.0,68.8,46.59601207509094,80.114,-0.7733439999999998,0.3440000000000003,0.026830377444292834,0.03657097915847423,0.869856,0.011182503844935155,0.013408053636616823,2.199,2.764676,0.1352732992528511,0.2393309510000187,48.0,-8.0,65.0,44.83310283607224,84.64,-0.5656760000000003,0.266,0.04874835309617918,0.04874835309617918,0.6738240000000002,0.019645301056368986,0.019645301056368986,2.277,2.960708,0.10460086511993708,0.1853949834531654,46.2,-6.200000000000003,66.0,44.74211671825767,86.686,-0.6837079999999998,0.28200000000000003,0.04909332153914196,0.04909332153914196,0.664968,0.01958671373979476,0.01958671373979476,2.261,2.969564,0.1108926464805348,0.18295835612397965,46.0,-6.0,66.2,44.81037275787072,83.144,-0.708564
2024-10-03 01:10:00+00:00,41.2,69.0,978.25,79.784,2.732,2.454,2.593,0.05360586193598149,3.630128,3.4844559999999998,3.557292,0.020475125460603212,44.4495024883335,24.5504975116665,-0.9642919999999999,2024-10-03 01:00:00,0.0,97.77,0.78,37.7,0.0,Light,1.0,-0.06700000000000017,0.03082706766917296,0.05360586193598149,0.3614119999999992,0.01344481019312361,0.020475125460603212,2.66,3.1958800000000007,-0.02583879676050913,0.10159750731736365,45.8,-4.599999999999994,66.0,44.5136393059161,74.148,-0.5358800000000006,0.12399999999999967,0.003645200486026779,0.05360586193598149,0.47873600000000005,0.0015318870275544583,0.020475125460603212,2.4690000000000003,3.078556,0.04782105669109127,0.13457877509071509,46.0,-4.799999999999997,68.2,46.63274123319303,79.62,-0.6095559999999995,0.1639999999999997,0.027583367641004504,0.05360586193598149,0.7582959999999996,0.012543069014746605,0.020475125460603212,2.4290000000000003,2.7989960000000003,0.06324720401079818,0.21316664473987507,49.0,-7.799999999999997,65.0,45.376017151242856,83.92,-0.369996,0.10499999999999998,0.004823151125401934,0.05360586193598149,0.6066999999999996,0.002131097759364849,0.020475125460603212,2.488,2.9505920000000003,0.04049363671423061,0.17055108211527184,47.6,-6.399999999999999,66.0,45.52826408161154,84.746,-0.46259200000000034,0.1609999999999996,0.09703947368421051,0.09703947368421051,0.5670839999999999,0.04135632036299816,0.04135632036299816,2.4320000000000004,2.990208,0.06209024296182013,0.15941452093333916,46.8,-5.599999999999994,66.0,45.081578188166795,82.296,-0.5582079999999996
2024-10-03 01:20:00+00:00,42.6,68.0,978.3,90.78,2.772,2.776,2.774,0.0007209805335255954,3.530408,3.532504,3.531456,0.00029676144910199587,44.425713651678706,23.574286348321294,-0.7574559999999999,2024-10-03 01:00:00,0.0,97.77,0.78,37.7,0.0,Light,1.0,-0.027000000000000135,0.014637629418065028,0.014637629418065028,0.38237200000000016,0.006822301342231602,0.006822301342231602,2.801,3.1490839999999998,-0.009733237202595578,0.10827601986262894,47.2,-4.600000000000001,65.8,45.122925272324046,72.402,-0.3480839999999996,0.32600000000000007,0.022058823529411693,0.022058823529411693,0.5845839999999991,0.009602045830290515,0.009602045830290515,2.448,2.946872000000001,0.11751982696467198,0.1655362547345908,47.4,-4.799999999999997,68.0,47.24606510887921,78.176,-0.49887200000000087,0.32399999999999984,0.03836734693877554,0.03836734693877554,0.8076559999999993,0.018083559732726323,0.018083559732726323,2.45,2.7238000000000007,0.1167988464311463,0.22870340165642705,50.0,-7.399999999999999,64.4,45.356910939325324,81.958,-0.2738000000000005,-0.03699999999999992,0.04375667022411953,0.04375667022411953,0.5150519999999994,0.021367164345359627,0.021367164345359627,2.811,3.0164040000000005,-0.013338139870223475,0.14584692546077296,48.8,-6.199999999999996,65.0,45.268222097598695,83.202,-0.20540400000000059,0.0730000000000004,0.06034801925212886,0.06034801925212886,0.5382120000000001,0.028534927322998,0.028534927322998,2.7009999999999996,2.993244,0.026315789473684355,0.15240512695047032,48.4,-5.799999999999997,65.6,45.601624034157226,80.976,-0.29224400000000017
2024-10-03 01:30:00+00:00,43.4,67.8,978.326,94.91,3.01,3.016,3.013,0.0009956853634251954,3.5861600000000005,3.5893040000000003,3.5877320000000004,0.0004381598179573911,44.733675694427575,23.066324305572422,-0.5747320000000005,2024-10-03 01:00:00,0.0,97.77,0.78,37.7,0.0,Light,1.0,-0.009999999999999787,0.01819384717168374,0.01819384717168374,0.4085200000000002,0.009065139411904606,0.009065139411904606,3.0229999999999997,3.179212,-0.0033189512114171213,0.11386580714501535,48.2,-4.800000000000004,65.6,45.49238099542923,69.612,-0.15621200000000046,0.22199999999999953,0.029738445001791455,0.029738445001791455,0.5473280000000003,0.014304677930959204,0.014304677930959204,2.7910000000000004,3.040404,0.0736807168934615,0.1525554305617031,48.4,-5.0,68.0,47.80169962853654,75.6,-0.24940399999999974,0.2789999999999999,0.02048280907095832,0.02048280907095832,0.8013160000000004,0.010531090834965073,0.010531090834965073,2.734,2.786416,0.09259873879853964,0.22334890119997822,51.0,-7.600000000000001,64.0,45.51041074778524,79.036,-0.05241600000000002,0.13600000000000012,0.04831421619742789,0.04831421619742789,0.5884640000000005,0.024284592107140776,0.024284592107140776,2.877,2.999268,0.04513773647527385,0.16402116992016139,49.4,-6.0,65.0,45.59044674796295,80.456,-0.12226800000000004,0.10999999999999988,0.09886324491904923,0.09886324491904923,0.5403600000000002,0.04935006293947702,0.04935006293947702,2.903,3.047372,0.036508463325589074,0.1506132565085687,49.0,-5.600000000000001,65.4,45.74333104397027,78.094,-0.14437200000000017
