time_stamp,humidity,temperature,voc,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm2.5_atm,pm2.5_atm_a_b_diff,pm2.5_epa_a,pm2.5_epa_b,pm2.5_epa,pm2.5_epa_a_b_diff,dewpoint,dewpoint_temp_delta,pm2.5_atm_epa_diff,datetime,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,pm2.5_atm_diff_LOC15_215479.csv.csv,pm2.5_atm_a_b_diff_LOC15_215479.csv.csv,pm2.5_atm_a_b_max_diff_LOC15_215479.csv.csv,pm2.5_epa_diff_LOC15_215479.csv.csv,pm2.5_epa_a_b_diff_LOC15_215479.csv.csv,pm2.5_epa_a_b_max_diff_LOC15_215479.csv.csv,pm2.5_atm_LOC15_215479.csv.csv,pm2.5_epa_LOC15_215479.csv.csv,pm2.5_atm_diff_perc_LOC15_215479.csv.csv,pm2.5_epa_diff_perc_LOC15_215479.csv.csv,humidity_LOC15_215479.csv.csv,humidity_diff_LOC15_215479.csv.csv,temperature_LOC15_215479.csv.csv,dewpoint_LOC15_215479.csv.csv,voc_LOC15_215479.csv.csv,pm2.5_atm_epa_diff_LOC15_215479.csv.csv,pm2.5_atm_diff_LOC11_215381.csv.csv,pm2.5_atm_a_b_diff_LOC11_215381.csv.csv,pm2.5_atm_a_b_max_diff_LOC11_215381.csv.csv,pm2.5_epa_diff_LOC11_215381.csv.csv,pm2.5_epa_a_b_diff_LOC11_215381.csv.csv,pm2.5_epa_a_b_max_diff_LOC11_215381.csv.csv,pm2.5_atm_LOC11_215381.csv.csv,pm2.5_epa_LOC11_215381.csv.csv,pm2.5_atm_diff_perc_LOC11_215381.csv.csv,pm2.5_epa_diff_perc_LOC11_215381.csv.csv,humidity_LOC11_215381.csv.csv,humidity_diff_LOC11_215381.csv.csv,temperature_LOC11_215381.csv.csv,dewpoint_LOC11_215381.csv.csv,voc_LOC11_215381.csv.csv,pm2.5_atm_epa_diff_LOC11_215381.csv.csv,pm2.5_atm_diff_LOC12_215481.csv.csv,pm2.5_atm_a_b_diff_LOC12_215481.csv.csv,pm2.5_atm_a_b_max_diff_LOC12_215481.csv.csv,pm2.5_epa_diff_LOC12_215481.csv.csv,pm2.5_epa_a_b_diff_LOC12_215481.csv.csv,pm2.5_epa_a_b_max_diff_LOC12_215481.csv.csv,pm2.5_atm_LOC12_215481.csv.csv,pm2.5_epa_LOC12_215481.csv.csv,pm2.5_atm_diff_perc_LOC12_215481.csv.csv,pm2.5_epa_diff_perc_LOC12_215481.csv.csv,humidity_LOC12_215481.csv.csv,humidity_diff_LOC12_215481.csv.csv,temperature_LOC12_215481.csv.csv,dewpoint_LOC12_215481.csv.csv,voc_LOC12_215481.csv.csv,pm2.5_atm_epa_diff_LOC12_215481.csv.csv,pm2.5_atm_diff_LOC14_215477.csv.csv,pm2.5_atm_a_b_diff_LOC14_215477.csv.csv,pm2.5_atm_a_b_max_diff_LOC14_215477.csv.csv,pm2.5_epa_diff_LOC14_215477.csv.csv,pm2.5_epa_a_b_diff_LOC14_215477.csv.csv,pm2.5_epa_a_b_max_diff_LOC14_215477.csv.csv,pm2.5_atm_LOC14_215477.csv.csv,pm2.5_epa_LOC14_215477.csv.csv,pm2.5_atm_diff_perc_LOC14_215477.csv.csv,pm2.5_epa_diff_perc_LOC14_215477.csv.csv,humidity_LOC14_215477.csv.csv,humidity_diff_LOC14_215477.csv.csv,temperature_LOC14_215477.csv.csv,dewpoint_LOC14_215477.csv.csv,voc_LOC14_215477.csv.csv,pm2.5_atm_epa_diff_LOC14_215477.csv.csv
2024-07-18 00:00:00+00:00,58.2,82.00000000000001,89.00649999999999,9.3975,8.9105,10.033,9.154,0.02660039327070134,5.657450000000001,5.402262,5.5298560000000005,0.023073656890884718,65.87007478252234,16.129925217477677,3.6241439999999994,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.10101666666666631,0.027766922804028808,0.027766922804028808,0.6194272666666665,0.027423118016673912,0.027423118016673912,9.255016666666666,4.910428733333334,-0.0110352487073046,0.11201508080258625,66.0,-7.799999999999997,80.0,67.62286288762172,54.66513333333334,4.344587933333332,-0.7989166666666669,0.029706534935320543,0.029706534935320543,-0.10328400000000038,0.027503192417254577,0.027503192417254577,9.952916666666667,5.633140000000001,-0.08727514383511764,-0.018677520716633554,61.85833333333333,-3.6583333333333243,79.0,64.80686079200892,121.96533333333332,4.319776666666666,0.33924999999999983,0.012609546498766206,0.02660039327070134,0.919518000000001,0.012633043390744846,0.023073656890884718,8.81475,4.610338,0.03706030150753767,0.16628244930790256,66.805,-8.605000000000004,79.195,67.2093904326351,54.07525000000001,4.2044120000000005,-0.30900000000000105,0.05873401669660789,0.05873401669660789,0.45872400000000013,0.057430806376170075,0.057430806376170075,9.463000000000001,5.071132,-0.033755735197727885,0.08295405883986855,65.4,-7.200000000000003,80.0,67.35791364117097,53.16480000000001,4.3918680000000005
2024-07-18 00:10:00+00:00,58.0,82.20000000000002,88.7045,9.1665,8.949,9.787000000000004,9.057749999999999,0.012006292953548034,5.553646,5.439676,5.496661,0.010367202925557829,65.957812529347,16.242187470653022,3.561088999999999,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.366733333333336,0.04724750605249819,0.04724750605249819,0.4284717333333319,0.0460378360771296,0.0460378360771296,9.424483333333335,5.068189266666668,-0.04048834791568945,0.07795127502557132,65.2,-7.200000000000003,80.0,67.2691232245513,55.499566666666674,4.356294066666667,-0.5366250000000026,0.060247975159055944,0.060247975159055944,0.00686016666666589,0.0551739202439191,0.0551739202439191,9.594375000000001,5.489800833333334,-0.059244845574232305,0.0012480607166179415,61.34166666666667,-3.3416666666666686,79.0,64.56640143131295,115.78616666666666,4.1045741666666675,0.17304999999999815,0.023898762291729995,0.023898762291729995,0.7462291999999993,0.023421590152429242,0.023421590152429242,8.8847,4.7504318,0.019105186166542262,0.13576045530186404,65.605,-7.605000000000004,79.80166666666668,67.26046439598832,55.44085,4.1342682,-0.12170833333333597,0.06683491672983613,0.06683491672983613,0.5051448333333326,0.06440495351162008,0.06440495351162008,9.179458333333335,4.991516166666667,-0.013436927861040103,0.09190030699243279,64.60000000000001,-6.6000000000000085,80.0,67.00131067546434,54.75421666666668,4.187942166666668
2024-07-18 00:20:00+00:00,59.85,81.05000000000001,84.741,9.7865,9.486,10.7765,9.63625,0.015592165001945754,5.719056,5.561594,5.640325000000001,0.013958592811584417,65.78569134197186,15.264308658028156,3.9959249999999997,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.22923333333333318,0.07660209248068608,0.07660209248068608,0.41001173333333263,0.07571162818431057,0.07571162818431057,9.865483333333334,5.230313266666668,-0.023788645306351865,0.07269292697377058,66.0,-6.149999999999999,80.0,67.62286288762172,51.986766666666675,4.6351700666666655,-0.6699583333333337,0.02605630101597321,0.02605630101597321,-0.10179649999999985,0.02450589618024144,0.02450589618024144,10.306208333333334,5.7421215000000005,-0.06952479785532065,-0.018047984823569535,62.74166666666667,-2.8916666666666657,79.0,65.21391394225273,120.05008333333332,4.5640868333333335,-0.10579166666666495,0.009394847931431197,0.015592165001945754,0.5768421666666672,0.009471563660546281,0.013958592811584417,9.742041666666665,5.0634828333333335,-0.010978509966705404,0.10227108662473654,67.185,-7.335000000000001,79.005,67.19296263440998,52.073766666666664,4.678558833333332,-0.20094999999999885,0.023502622697515584,0.023502622697515584,0.414488200000001,0.023182660430574542,0.023182660430574542,9.8372,5.2258368,-0.020853547801271122,0.07348658100375438,65.88000000000001,-6.030000000000008,80.0,67.570042569885,52.0232,4.6113631999999996
2024-07-18 00:30:00+00:00,60.1,81.15,83.09100000000001,9.368,9.5885,10.764,9.47825,0.011631894073272994,5.478212,5.593754,5.535983,0.010435545051348567,65.99965537112517,15.150344628874834,3.9422669999999993,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.3435000000000006,0.009952401557767155,0.011631894073272994,0.3630660000000008,0.009901763357115526,0.010435545051348567,9.82175,5.172916999999999,-0.036240867248701035,0.06558293260654897,66.4,-6.300000000000004,79.96333333333332,67.76347746565165,52.94156666666667,4.648833000000001,-0.6663333333333341,0.02312399884996105,0.02312399884996105,-0.11139033333333437,0.021766166217687104,0.021766166217687104,10.144583333333333,5.647373333333334,-0.07030130386235162,-0.020121148011714336,62.85833333333334,-2.75833333333334,79.0,65.26729897842011,129.32558333333333,4.497209999999999,-0.07175000000000153,0.008338568935427516,0.011631894073272994,0.5922376666666658,0.008440537255290039,0.010435545051348567,9.55,4.943745333333334,-0.007569962809590541,0.10697967581668257,67.40666666666667,-7.306666666666665,78.80666666666667,67.09956579492734,52.84996666666666,4.606254666666667,-0.27475000000000094,0.008100071772787924,0.011631894073272994,0.36461099999999913,0.008004838947962098,0.010435545051348567,9.753,5.171372000000001,-0.0289874185635535,0.06586201583350222,66.0,-5.899999999999999,79.32,66.9770711069308,53.3512,4.581627999999999
2024-07-18 00:40:00+00:00,58.60000000000001,81.85000000000002,89.20100000000001,9.214,9.4635,10.478750000000002,9.338750000000001,0.013358318832820204,5.526816,5.657553999999999,5.592185,0.011689348617758456,65.92715312940682,15.922846870593204,3.7465650000000013,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.3878499999999967,0.018920623170823603,0.018920623170823603,0.43464659999999977,0.018697576089140976,0.018697576089140976,9.726599999999998,5.1575384,-0.041531254182839955,0.07772393080701011,66.0,-7.3999999999999915,78.99999999999999,66.67315313192466,63.499966666666666,4.569061599999998,-0.6045833333333324,0.016853838417700266,0.016853838417700266,-0.05820166666666715,0.015541178302841773,0.015541178302841773,9.943333333333333,5.650386666666667,-0.06473921384910532,-0.010407679049721558,61.6,-2.999999999999993,78.85833333333333,64.55343174651662,121.94783333333334,4.2929466666666665,0.28891666666666715,0.0019926702149210863,0.013358318832820204,0.9099523333333339,0.0020181540174067994,0.011689348617758456,9.049833333333334,4.682232666666666,0.030937402400392677,0.16271856766779602,67.4,-8.799999999999997,78.59333333333333,66.89355775093463,64.75486666666667,4.367600666666668,-0.2732499999999991,0.021306699958385408,0.021306699958385408,0.460217000000001,0.020911120256400656,0.020911120256400656,9.612,5.131967999999999,-0.029259804577700343,0.08229645478466843,65.60000000000001,-7.0,79.19999999999999,66.68727232762205,65.31,4.480032000000001
2024-07-18 00:50:00+00:00,59.00000000000001,81.35000000000001,89.6165,9.6855,9.212,10.3955,9.44875,0.02505622436830266,5.739401999999999,5.491287999999999,5.615345,0.02209249832378956,65.65502725430275,15.694972745697257,3.833405000000001,2024-07-18 00:00:00,0.05,97.38,0.07,315.0,10.03,Medium,2.0,-0.5395666666666656,0.06439022925117498,0.06439022925117498,0.3034270666666661,0.0634442407110982,0.0634442407110982,9.988316666666666,5.3119179333333335,-0.057104555276271,0.05403533828583393,65.8,-6.79999999999999,79.39999999999999,66.96518025792759,62.87343333333333,4.676398733333333,-0.4707499999999989,0.05188433556798891,0.05188433556798891,0.011926999999998245,0.04812871953035323,0.04812871953035323,9.9195,5.603418000000001,-0.04982140494774429,0.002124001285762183,61.99999999999999,-2.999999999999986,78.0,63.92989931032997,121.50308333333334,4.316081999999998,-0.22401666666666564,0.012243997753142036,0.02505622436830266,0.5722152666666673,0.012305665320580216,0.02209249832378956,9.672766666666666,5.043129733333332,-0.023708603430788795,0.10190206775659685,67.0,-7.999999999999993,79.0,67.1083225041616,63.96333333333333,4.629636933333334,-0.1558749999999982,0.02369084338708354,0.02505622436830266,0.5044815000000007,0.02332909758465151,0.02332909758465151,9.604624999999999,5.110863499999999,-0.01649689112316425,0.08983980503424112,65.80000000000001,-6.800000000000004,79.0,66.58542560300423,64.34508333333333,4.4937615
2024-07-18 01:00:00+00:00,58.05,81.80000000000001,90.208,9.852000000000002,9.9,10.67075,9.876000000000001,0.002430133657351066,5.908538000000002,5.933690000000001,5.921114000000001,0.002123924653367541,65.60880258861371,16.191197411386298,3.954886,2024-07-18 01:00:00,0.0,97.45,0.07,333.4,8.7,Medium,2.0,-0.3689666666666671,0.06053053694659799,0.06053053694659799,0.4747114666666663,0.059663211574592936,0.059663211574592936,10.244966666666668,5.446402533333335,-0.03735992979613883,0.08017266120305507,65.8,-7.75,78.99999999999999,66.58542560300421,63.6292,4.7985641333333335,-0.5637499999999989,0.01810388179793578,0.01810388179793578,0.032873333333333754,0.01681928535303299,0.01681928535303299,10.43975,5.888240666666667,-0.05708282705548793,0.005551883198555837,61.85833333333333,-3.80833333333333,78.54166666666667,64.37497687554523,121.61541666666666,4.551509333333333,0.14086666666666758,0.004834722345867469,0.004834722345867469,0.7596788000000014,0.004778309206193856,0.004778309206193856,9.735133333333334,5.1614352,0.014263534494397283,0.12829997868644336,66.00666666666667,-7.956666666666678,79.19999999999999,66.86602564480697,64.6898,4.573698133333334,-0.2931916666666652,0.05231569536418426,0.05231569536418426,0.4559452333333347,0.0510089218775758,0.0510089218775758,10.169191666666666,5.465168766666666,-0.029687289050897646,0.07700328575557482,65.12166666666667,-7.0716666666666725,79.19999999999999,66.47576857533866,65.3529,4.7040229
2024-07-18 01:10:00+00:00,58.34833333333333,81.65166666666667,91.74745,10.374516666666668,10.0282,10.983091666666668,10.201358333333335,0.01697404675684537,6.156620400000001,5.975150466666667,6.065885433333334,0.014958239429986434,65.6176569340426,16.03400973262407,4.135472900000001,2024-07-18 01:00:00,0.0,97.45,0.07,333.4,8.7,Medium,2.0,-0.23628333333333096,0.036334037781523006,0.036334037781523006,0.5015685333333346,0.03571375191325507,0.03571375191325507,10.437641666666666,5.5643169,-0.023161948204609772,0.08268677983548924,65.60333333333334,-7.25500000000001,79.6,67.06834882808629,64.64574999999999,4.873324766666666,-0.7187416666666646,0.03299420334978622,0.03299420334978622,-0.13597896666666554,0.03044200708419233,0.03044200708419233,10.9201,6.2018644,-0.07045548672848284,-0.0224170021279057,61.14000000000001,-2.7916666666666785,78.66,64.15214073398596,121.487,4.7182356,0.4488583333333356,0.004884217721951485,0.01697404675684537,0.945920766666668,0.004875007600963772,0.014958239429986434,9.7525,5.119964666666666,0.043999859495835326,0.15594108676511292,66.59333333333333,-8.245000000000005,78.60666666666667,66.55805629372671,65.80633333333334,4.632535333333333,-0.3549583333333324,0.03620896809019555,0.03620896809019555,0.4043281666666667,0.03537723937650639,0.03537723937650639,10.556316666666667,5.661557266666668,-0.03479520292640757,0.0666560836188559,65.19666666666666,-6.848333333333329,78.99999999999999,66.3193558124858,66.76721666666666,4.8947594
2024-07-18 01:20:00+00:00,58.45166666666666,81.2,89.28851666666668,10.030033333333332,10.128466666666666,11.381216666666669,10.079249999999998,0.004882969136261839,5.9672038,6.018782866666667,5.992993333333334,0.0043032808312819006,65.24606391621887,15.95393608378113,4.086256666666665,2024-07-18 01:00:00,0.0,97.45,0.07,333.4,8.7,Medium,2.0,-0.6444833333333371,0.03835262595116137,0.03835262595116137,0.3129570666666659,0.03794209342137547,0.03794209342137547,10.723733333333335,5.680036266666668,-0.06394159618357885,0.05222049304243053,66.0,-7.548333333333339,78.99999999999999,66.67315313192466,59.16641666666667,5.043697066666668,-1.0129500000000018,0.02877697841726622,0.02877697841726622,-0.23698746666666626,0.026847723190415004,0.026847723190415004,11.0922,6.2299808,-0.10049854899918169,-0.039544089820445806,61.86,-3.4083333333333385,78.00000000000001,63.86530746778851,130.4654,4.8622192,-0.08965000000000423,0.013921531991332978,0.013921531991332978,0.7071297333333328,0.014033834193779227,0.014033834193779227,10.168900000000002,5.285863600000001,-0.008894511000322866,0.11799274486094308,67.2,-8.748333333333342,78.00000000000001,66.24276501728646,59.6516,4.883036400000002,-0.3300083333333337,0.014110035056932459,0.014110035056932459,0.4500143000000021,0.013884681781615508,0.013884681781615508,10.409258333333332,5.5429790333333315,-0.03274135807062368,0.07509007185057251,65.67833333333334,-7.226666666666681,79.0,66.53194348319141,60.9277,4.8662793
2024-07-18 01:30:00+00:00,58.89666666666667,80.8,91.13631666666669,10.220933333333337,10.182783333333331,11.064258333333331,10.201858333333334,0.0018697573889726903,6.0288764000000015,6.008885799999999,6.0188811,0.0016606574933007501,65.08955397875712,15.710446021242873,4.182977233333334,2024-07-18 01:00:00,0.0,97.45,0.07,333.4,8.7,Medium,2.0,-0.04825833333333307,0.03004518647755225,0.03004518647755225,0.5526836333333325,0.029522265581770228,0.029522265581770228,10.250116666666667,5.466197466666667,-0.004730347330510837,0.09182497945229928,65.60166666666667,-6.705000000000005,78.99999999999999,66.49819774954378,60.02215,4.7839192,-0.7920416666666661,0.037011433613185596,0.037011433613185596,-0.18717450000000113,0.03435605700986641,0.03435605700986641,10.9939,6.206055600000001,-0.07763699914149622,-0.031097889606093256,61.54,-2.643333333333331,78.4,64.0938916491514,133.83020000000002,4.787844399999999,0.21469166666666695,0.029187457236787128,0.029187457236787128,0.8104311000000006,0.029326575084718032,0.029326575084718032,9.987166666666667,5.208449999999999,0.021044368550501038,0.13464813252416644,66.99333333333334,-8.096666666666671,78.4,66.53452318430756,60.955000000000005,4.778716666666668,-0.20400000000000063,0.04757496378242066,0.04757496378242066,0.505411333333333,0.04705032903871372,0.04705032903871372,10.405858333333335,5.513469766666667,-0.01999635687289005,0.083970978149632,66.0,-7.103333333333332,78.80000000000001,66.48319921003588,62.14146666666667,4.892388566666668
