time_stamp,PRECTOTCORR (mm/hour),T2MDEW (F),PS (kPa),WS2M (m/s),ALLSKY_SFC_SW_DWN (MJ/hr)
6/1/2024 4:00:00,0,43.25,98.42,1.11,0
6/1/2024 5:00:00,0,42.656,98.42,1.1,0
6/1/2024 6:00:00,0,42.458,98.44,1.1,0
6/1/2024 7:00:00,0,42.206,98.46,1.09,0
6/1/2024 8:00:00,0,41.774,98.45,1.09,0
6/1/2024 9:00:00,0,43.88,98.43,0.83,0.17
6/1/2024 10:00:00,0,47.606,98.43,0.12,0.68
6/1/2024 11:00:00,0,47.246,98.43,0.06,1.24
6/1/2024 12:00:00,0,47.3,98.41,0.1,1.84
6/1/2024 13:00:00,0,46.904,98.38,0.13,2.64
6/1/2024 14:00:00,0,47.084,98.33,0.14,3.2
6/1/2024 15:00:00,0,47.876,98.28,0.13,3.26
6/1/2024 16:00:00,0,49.064,98.21,0.11,3.1
6/1/2024 17:00:00,0,50.45,98.13,0.11,3.07
6/1/2024 18:00:00,0,52.196,98.06,0.1,2.68
6/1/2024 19:00:00,0,53.654,98.01,0.08,2.21
6/1/2024 20:00:00,0,53.06,97.96,0.1,1.53
6/1/2024 21:00:00,0,53.402,97.93,0.14,0.92
6/1/2024 22:00:00,0,60.08,97.93,0.26,0.38
6/1/2024 23:00:00,0,58.01,97.93,0.74,0.05
6/2/2024 0:00:00,0,55.886,97.94,0.88,0
6/2/2024 1:00:00,0,55.472,97.91,0.83,0
6/2/2024 2:00:00,0,55.994,97.87,0.43,0
6/2/2024 3:00:00,0,55.958,97.83,0.12,0
6/2/2024 4:00:00,0,56.03,97.79,0.13,0
6/2/2024 5:00:00,0,56.138,97.76,0.12,0
6/2/2024 6:00:00,0,56.552,97.77,0.1,0
6/2/2024 7:00:00,0.01,56.822,97.79,0.09,0
6/2/2024 8:00:00,0.76,57.038,97.82,0.08,0
6/2/2024 9:00:00,3.42,57.146,97.84,0.07,0.04
6/2/2024 10:00:00,6.06,58.01,97.86,0.09,0.2
6/2/2024 11:00:00,5.88,59.162,97.87,0.1,0.43
6/2/2024 12:00:00,3.5,59.882,97.87,0.12,0.43
6/2/2024 13:00:00,4.37,59.324,97.83,0.14,0.55
6/2/2024 14:00:00,5.97,58.586,97.79,0.16,0.71
6/2/2024 15:00:00,7.14,59.126,97.75,0.17,0.65
6/2/2024 16:00:00,6.93,59.918,97.69,0.18,0.81
6/2/2024 17:00:00,5.8,60.53,97.65,0.18,0.82
6/2/2024 18:00:00,5.25,60.926,97.61,0.18,0.92
6/2/2024 19:00:00,4.64,61.196,97.6,0.17,0.58
6/2/2024 20:00:00,3.16,61.484,97.59,0.15,0.24
6/2/2024 21:00:00,2.57,61.952,97.59,0.12,0.16
6/2/2024 22:00:00,2.37,63.158,97.59,0.09,0.08
6/2/2024 23:00:00,1.38,62.402,97.59,0.21,0.01
6/3/2024 0:00:00,1.1,60.548,97.6,0.32,0
6/3/2024 1:00:00,1.31,60.224,97.61,0.21,0
6/3/2024 2:00:00,1.19,59.774,97.6,0.17,0
6/3/2024 3:00:00,1.07,59.432,97.62,0.15,0
6/3/2024 4:00:00,1.04,59.09,97.64,0.08,0
6/3/2024 5:00:00,0.18,58.694,97.65,0.13,0
6/3/2024 6:00:00,0.15,58.1,97.65,0.33,0
6/3/2024 7:00:00,0.12,57.704,97.64,0.68,0
6/3/2024 8:00:00,0.18,57.776,97.63,0.75,0
6/3/2024 9:00:00,0.26,58.586,97.63,0.52,0.1
6/3/2024 10:00:00,0.28,62.186,97.65,0.07,0.38
6/3/2024 11:00:00,1.15,65.912,97.67,0.1,0.66
6/3/2024 12:00:00,0.79,61.862,97.66,0.08,1.04
6/3/2024 13:00:00,0.17,61.16,97.65,0.05,1.43
6/3/2024 14:00:00,0.17,61.286,97.62,0.04,1.91
6/3/2024 15:00:00,0.29,61.34,97.58,0.03,2.3
6/3/2024 16:00:00,0.12,61.286,97.54,0.03,3.08
6/3/2024 17:00:00,0.08,61.322,97.49,0.01,2.85
6/3/2024 18:00:00,0.04,61.394,97.44,0.02,2.76
6/3/2024 19:00:00,0.02,61.592,97.42,0.04,2.27
6/3/2024 20:00:00,0.01,62.438,97.4,0.04,1.8
6/3/2024 21:00:00,0,65.822,97.41,0.13,1.11
6/3/2024 22:00:00,0,65.786,97.45,0.22,0.52
6/3/2024 23:00:00,0,65.102,97.46,0.51,0.06
6/4/2024 0:00:00,0,62.186,97.5,0.64,0
6/4/2024 1:00:00,0,61.394,97.51,0.41,0
6/4/2024 2:00:00,0,60.764,97.5,0.3,0
6/4/2024 3:00:00,0,60.404,97.48,0.15,0
6/4/2024 4:00:00,0.01,60.062,97.47,0.11,0
6/4/2024 5:00:00,0,59.666,97.46,0.1,0
6/4/2024 6:00:00,0,59.378,97.47,0.09,0
6/4/2024 7:00:00,0,59.18,97.52,0.09,0
6/4/2024 8:00:00,0,58.928,97.56,0.09,0
6/4/2024 9:00:00,0,59.432,97.59,0.09,0.17
6/4/2024 10:00:00,0,60.386,97.6,0.09,0.73
6/4/2024 11:00:00,0.02,62.204,97.59,0.07,1.37
6/4/2024 12:00:00,0.13,63.248,97.57,0.11,2.02
6/4/2024 13:00:00,0.53,63.59,97.55,0.11,2.57
6/4/2024 14:00:00,0.52,63.626,97.54,0.1,2.85
6/4/2024 15:00:00,0.54,63.536,97.5,0.09,2.89
6/4/2024 16:00:00,0.56,63.608,97.45,0.09,2.76
6/4/2024 17:00:00,0.49,63.968,97.36,0.1,2.71
6/4/2024 18:00:00,0.81,64.49,97.3,0.1,2.32
6/4/2024 19:00:00,1.65,65.912,97.26,0.1,1.76
6/4/2024 20:00:00,2.94,67.892,97.24,0.09,1.22
6/4/2024 21:00:00,2.44,70.214,97.25,0.11,0.72
6/4/2024 22:00:00,1.82,71.582,97.27,0.08,0.31
6/4/2024 23:00:00,1.71,69.584,97.27,0.09,0.05
6/5/2024 0:00:00,1.08,68.864,97.28,0.11,0
6/5/2024 1:00:00,0.45,68.558,97.28,0.11,0
6/5/2024 2:00:00,0.33,68.144,97.24,0.09,0
6/5/2024 3:00:00,0.48,67.712,97.22,0.09,0
6/5/2024 4:00:00,0.85,67.442,97.22,0.09,0
6/5/2024 5:00:00,1.42,67.262,97.2,0.09,0
6/5/2024 6:00:00,1.97,67.082,97.17,0.09,0
6/5/2024 7:00:00,1.77,66.848,97.13,0.09,0
6/5/2024 8:00:00,1.34,66.56,97.11,0.08,0
6/5/2024 9:00:00,0.95,66.38,97.11,0.07,0.06
6/5/2024 10:00:00,1.25,66.65,97.11,0.1,0.23
6/5/2024 11:00:00,3.12,67.316,97.1,0.12,0.41
6/5/2024 12:00:00,3.62,68.054,97.07,0.14,0.61
6/5/2024 13:00:00,3.8,68.774,97.05,0.15,0.9
6/5/2024 14:00:00,4.56,69.512,97.03,0.14,1.17
6/5/2024 15:00:00,4.77,69.62,97.01,0.15,1.47
6/5/2024 16:00:00,5.61,68.828,96.98,0.15,1.17
6/5/2024 17:00:00,9.55,68.396,96.92,0.16,1.55
6/5/2024 18:00:00,10.96,68.702,96.86,0.16,1.7
6/5/2024 19:00:00,8.92,69.656,96.8,0.14,1.44
6/5/2024 20:00:00,4.83,70.862,96.75,0.12,0.96
6/5/2024 21:00:00,2.53,71.582,96.71,0.09,0.59
6/5/2024 22:00:00,3.02,71.744,96.69,0.07,0.26
6/5/2024 23:00:00,8.71,70.7,96.66,0.09,0.03
6/6/2024 0:00:00,15.86,70.466,96.65,0.1,0
6/6/2024 1:00:00,14.12,70.106,96.64,0.1,0
6/6/2024 2:00:00,10.14,69.53,96.6,0.09,0
6/6/2024 3:00:00,5.6,69.044,96.56,0.09,0
6/6/2024 4:00:00,4.82,68.63,96.48,0.09,0
6/6/2024 5:00:00,8.02,68.288,96.4,0.09,0
6/6/2024 6:00:00,12.71,68.234,96.26,0.12,0
6/6/2024 7:00:00,12.73,68.594,96.05,0.21,0
6/6/2024 8:00:00,6.71,68.936,96.03,0.27,0
6/6/2024 9:00:00,1.58,68.558,96.09,0.27,0.13
6/6/2024 10:00:00,0.22,67.964,96.22,0.29,0.55
6/6/2024 11:00:00,0.03,67.28,96.35,0.26,1.07
6/6/2024 12:00:00,0.01,64.94,96.44,0.25,1.7
6/6/2024 13:00:00,0,61.664,96.47,0.23,2.43
6/6/2024 14:00:00,0.02,58.82,96.49,0.22,2.83
6/6/2024 15:00:00,0.2,57.056,96.49,0.21,2.75
6/6/2024 16:00:00,1.11,56.75,96.46,0.2,2.38
6/6/2024 17:00:00,5.73,57.956,96.43,0.21,1.98
6/6/2024 18:00:00,9.3,59.774,96.41,0.21,1.52
6/6/2024 19:00:00,7.29,61.826,96.4,0.19,1.13
6/6/2024 20:00:00,2.72,63.86,96.38,0.14,0.95
6/6/2024 21:00:00,0.99,65.12,96.38,0.11,0.56
6/6/2024 22:00:00,0.91,65.876,96.42,0.09,0.28
6/6/2024 23:00:00,0.89,66.308,96.45,0.08,0.04
6/7/2024 0:00:00,0.56,65.318,96.47,0.08,0
6/7/2024 1:00:00,0.5,64.022,96.51,0.11,0
6/7/2024 2:00:00,0.36,63.032,96.54,0.11,0
6/7/2024 3:00:00,0.21,61.61,96.56,0.1,0
6/7/2024 4:00:00,0.27,59.9,96.55,0.1,0
6/7/2024 5:00:00,0.3,58.946,96.54,0.1,0
6/7/2024 6:00:00,0.24,58.352,96.53,0.1,0
6/7/2024 7:00:00,0.3,57.956,96.56,0.1,0
6/7/2024 8:00:00,0.25,57.506,96.6,0.09,0
6/7/2024 9:00:00,0.21,57.326,96.63,0.09,0.16
6/7/2024 10:00:00,0.26,57.704,96.66,0.11,0.69
6/7/2024 11:00:00,0.02,56.984,96.66,0.16,1.31
6/7/2024 12:00:00,0.02,55.274,96.66,0.23,2.02
6/7/2024 13:00:00,0.01,53.366,96.67,0.28,2.01
6/7/2024 14:00:00,0.01,51.89,96.69,0.3,2.15
6/7/2024 15:00:00,0.05,51.782,96.74,0.3,1.9
6/7/2024 16:00:00,0.07,51.8,96.77,0.31,2.41
6/7/2024 17:00:00,0.07,51.872,96.81,0.29,2.19
6/7/2024 18:00:00,0.05,52.16,96.84,0.26,1.81
6/7/2024 19:00:00,0.04,52.916,96.86,0.23,1.68
6/7/2024 20:00:00,0.02,54.194,96.89,0.19,1.16
6/7/2024 21:00:00,0.04,55.958,96.92,0.16,0.71
6/7/2024 22:00:00,0.03,57.434,96.94,0.12,0.33
6/7/2024 23:00:00,0.03,58.334,96.94,0.1,0.04
6/8/2024 0:00:00,0.03,57.65,96.95,0.1,0
6/8/2024 1:00:00,0.02,56.678,97,0.12,0
6/8/2024 2:00:00,0.01,55.526,97.04,0.11,0
6/8/2024 3:00:00,0.01,54.356,97.05,0.1,0
6/8/2024 4:00:00,0.01,53.582,97.06,0.09,0
6/8/2024 5:00:00,0.01,52.916,97.08,0.08,0
6/8/2024 6:00:00,0.01,52.07,97.1,0.14,0
6/8/2024 7:00:00,0.01,51.692,97.14,0.14,0
6/8/2024 8:00:00,0.01,51.692,97.19,0.08,0
6/8/2024 9:00:00,0.01,52.178,97.26,0.09,0.21
6/8/2024 10:00:00,0,53.024,97.31,0.08,0.82
6/8/2024 11:00:00,0,52.502,97.34,0.1,1.51
6/8/2024 12:00:00,0,51.674,97.33,0.14,2.19
6/8/2024 13:00:00,0,51.602,97.34,0.17,2.74
6/8/2024 14:00:00,0,51.674,97.38,0.2,3.11
6/8/2024 15:00:00,0,51.818,97.37,0.21,3.31
6/8/2024 16:00:00,0,52.052,97.3,0.19,3.47
6/8/2024 17:00:00,0,52.448,97.23,0.17,3.37
6/8/2024 18:00:00,0,52.772,97.2,0.17,3.07
6/8/2024 19:00:00,0,53.204,97.18,0.16,2.49
6/8/2024 20:00:00,0,54.23,97.15,0.16,1.76
6/8/2024 21:00:00,0,56.66,97.12,0.14,1.04
6/8/2024 22:00:00,0,59.486,97.1,0.13,0.45
6/8/2024 23:00:00,0,58.928,97.11,0.13,0.06
6/9/2024 0:00:00,0,57.56,97.09,0.12,0
6/9/2024 1:00:00,0,56.912,97.04,0.12,0
6/9/2024 2:00:00,0.04,56.156,96.98,0.11,0
6/9/2024 3:00:00,0.1,55.256,96.91,0.11,0
6/9/2024 4:00:00,0.02,55.238,96.8,0.1,0
6/9/2024 5:00:00,0.01,55.76,96.73,0.11,0
6/9/2024 6:00:00,0.1,57.38,96.67,0.13,0
6/9/2024 7:00:00,0.27,58.262,96.63,0.11,0
6/9/2024 8:00:00,0.49,58.622,96.65,0.11,0
6/9/2024 9:00:00,0.39,58.892,96.74,0.14,0.08
6/9/2024 10:00:00,0.12,57.902,96.83,0.21,0.55
6/9/2024 11:00:00,0.09,54.788,96.89,0.25,1.11
6/9/2024 12:00:00,0.03,52.718,96.9,0.23,1.89
6/9/2024 13:00:00,0.01,51.494,96.88,0.2,2.75
6/9/2024 14:00:00,0,50.738,96.94,0.18,3
6/9/2024 15:00:00,0,50.432,96.95,0.18,3.29
6/9/2024 16:00:00,0.01,50.45,96.9,0.18,3.25
6/9/2024 17:00:00,0.05,50.666,96.83,0.2,3.05
6/9/2024 18:00:00,0.18,51.026,96.81,0.22,2.2
6/9/2024 19:00:00,0.27,51.926,96.81,0.21,1.7
6/9/2024 20:00:00,0.16,52.898,96.8,0.2,1.07
6/9/2024 21:00:00,0.12,53.852,96.8,0.18,0.58
6/9/2024 22:00:00,0.14,54.59,96.82,0.15,0.27
6/9/2024 23:00:00,0.23,54.428,96.83,0.12,0.03
6/10/2024 0:00:00,0.23,53.924,96.85,0.12,0
6/10/2024 1:00:00,0.1,53.582,96.83,0.11,0
6/10/2024 2:00:00,0.04,53.24,96.83,0.1,0
6/10/2024 3:00:00,0.02,53.024,96.83,0.09,0
6/10/2024 4:00:00,0.01,52.448,96.84,0.08,0
6/10/2024 5:00:00,0.02,51.674,96.84,0.24,0
6/10/2024 6:00:00,0.03,50.936,96.83,0.38,0
6/10/2024 7:00:00,0.04,50.63,96.85,0.24,0
6/10/2024 8:00:00,0.05,50.396,96.87,0.2,0
6/10/2024 9:00:00,0.06,50.972,96.9,0.11,0.18
6/10/2024 10:00:00,0.01,50.936,96.93,0.12,0.64
6/10/2024 11:00:00,0,50.45,96.96,0.13,1.17
6/10/2024 12:00:00,0,50.378,96.98,0.14,1.76
6/10/2024 13:00:00,0,50.558,96.97,0.14,1.96
6/10/2024 14:00:00,0,50.792,96.97,0.15,1.58
6/10/2024 15:00:00,0.01,51.08,96.98,0.14,1.07
6/10/2024 16:00:00,0.02,51.368,96.99,0.16,0.86
6/10/2024 17:00:00,0.02,51.62,97,0.16,0.57
6/10/2024 18:00:00,0.02,51.782,97,0.16,0.6
6/10/2024 19:00:00,0.02,51.566,96.99,0.17,0.69
6/10/2024 20:00:00,0.02,51.332,97.02,0.16,0.61
6/10/2024 21:00:00,0.01,51.386,97.06,0.16,0.37
6/10/2024 22:00:00,0.01,51.584,97.12,0.14,0.22
6/10/2024 23:00:00,0.01,52.232,97.18,0.1,0.04
6/11/2024 0:00:00,0,51.998,97.27,0.09,0
6/11/2024 1:00:00,0,51.26,97.34,0.08,0
6/11/2024 2:00:00,0,50.396,97.38,0.08,0
6/11/2024 3:00:00,0,49.532,97.4,0.14,0
6/11/2024 4:00:00,0,48.578,97.41,0.35,0
6/11/2024 5:00:00,0,47.768,97.41,0.46,0
6/11/2024 6:00:00,0,47.048,97.42,0.46,0
6/11/2024 7:00:00,0,46.436,97.46,0.36,0
6/11/2024 8:00:00,0,45.878,97.51,0.27,0
6/11/2024 9:00:00,0,46.238,97.55,0.1,0.16
6/11/2024 10:00:00,0,46.004,97.6,0.07,0.64
6/11/2024 11:00:00,0,45.266,97.65,0.1,1.22
6/11/2024 12:00:00,0,45.302,97.66,0.09,1.88
6/11/2024 13:00:00,0,45.734,97.66,0.09,2.07
6/11/2024 14:00:00,0,46.598,97.65,0.09,2.39
6/11/2024 15:00:00,0,47.84,97.65,0.1,2.63
6/11/2024 16:00:00,0,49.046,97.65,0.1,3.07
6/11/2024 17:00:00,0,49.964,97.61,0.09,3.17
6/11/2024 18:00:00,0,50.504,97.58,0.08,2.97
6/11/2024 19:00:00,0,50.774,97.53,0.05,2.5
6/11/2024 20:00:00,0,50.882,97.52,0.04,1.94
6/11/2024 21:00:00,0,51.584,97.55,0.03,1.23
6/11/2024 22:00:00,0,57.254,97.59,0.09,0.59
6/11/2024 23:00:00,0,51.602,97.62,0.37,0.09
6/12/2024 0:00:00,0,50.54,97.67,0.81,0
6/12/2024 1:00:00,0,50.666,97.71,0.77,0
6/12/2024 2:00:00,0,50.864,97.74,0.55,0
6/12/2024 3:00:00,0,50.882,97.77,0.29,0
6/12/2024 4:00:00,0,50.648,97.78,0.09,0
6/12/2024 5:00:00,0,50.378,97.77,0.08,0
6/12/2024 6:00:00,0,50.144,97.77,0.08,0
6/12/2024 7:00:00,0,49.838,97.8,0.08,0
6/12/2024 8:00:00,0,48.848,97.84,0.1,0
6/12/2024 9:00:00,0,48.776,97.89,0.1,0.16
6/12/2024 10:00:00,0,48.866,97.92,0.11,0.7
6/12/2024 11:00:00,0,49.676,97.93,0.09,1.4
6/12/2024 12:00:00,0,49.64,97.93,0.12,2.14
6/12/2024 13:00:00,0,49.964,97.91,0.13,2.72
6/12/2024 14:00:00,0,51.008,97.88,0.11,3.15
6/12/2024 15:00:00,0,52.124,97.84,0.1,3.4
6/12/2024 16:00:00,0,53.114,97.8,0.1,3.51
6/12/2024 17:00:00,0,53.996,97.75,0.09,3.37
6/12/2024 18:00:00,0,54.896,97.7,0.09,3.06
6/12/2024 19:00:00,0,55.922,97.66,0.08,2.58
6/12/2024 20:00:00,0,57.344,97.64,0.08,1.97
6/12/2024 21:00:00,0,59.684,97.64,0.08,1.29
6/12/2024 22:00:00,0,59.54,97.62,0.17,0.61
6/12/2024 23:00:00,0,60.908,97.62,0.57,0.09
6/13/2024 0:00:00,0,57.65,97.65,0.34,0
6/13/2024 1:00:00,0,56.444,97.7,0.13,0
6/13/2024 2:00:00,0,55.598,97.71,0.13,0
6/13/2024 3:00:00,0,55.094,97.72,0.12,0
6/13/2024 4:00:00,0,54.518,97.7,0.11,0
6/13/2024 5:00:00,0,53.978,97.69,0.11,0
6/13/2024 6:00:00,0,53.42,97.69,0.1,0
6/13/2024 7:00:00,0,52.916,97.69,0.1,0
6/13/2024 8:00:00,0,52.556,97.69,0.11,0
6/13/2024 9:00:00,0,52.988,97.7,0.11,0.19
6/13/2024 10:00:00,0,53.78,97.72,0.09,0.76
6/13/2024 11:00:00,0,56.084,97.71,0.05,1.41
6/13/2024 12:00:00,0,56.624,97.71,0.1,2.08
6/13/2024 13:00:00,0,56.174,97.72,0.14,2.66
6/13/2024 14:00:00,0,56.138,97.7,0.14,3.13
6/13/2024 15:00:00,0,56.444,97.66,0.14,3.42
6/13/2024 16:00:00,0,56.804,97.6,0.15,3.53
6/13/2024 17:00:00,0,57.164,97.55,0.14,3.41
6/13/2024 18:00:00,0,57.65,97.52,0.14,3.08
6/13/2024 19:00:00,0,58.442,97.5,0.13,2.58
6/13/2024 20:00:00,0,60.35,97.47,0.12,1.96
6/13/2024 21:00:00,0,61.934,97.46,0.11,1.27
6/13/2024 22:00:00,0,65.048,97.46,0.12,0.61
6/13/2024 23:00:00,0,62.618,97.45,0.54,0.09
6/14/2024 0:00:00,0,59.63,97.46,0.59,0
6/14/2024 1:00:00,0,58.568,97.46,0.33,0
6/14/2024 2:00:00,0,57.524,97.43,0.13,0
6/14/2024 3:00:00,0,57.236,97.36,0.12,0
6/14/2024 4:00:00,0,56.912,97.33,0.13,0
6/14/2024 5:00:00,0,57.056,97.31,0.1,0
6/14/2024 6:00:00,0,57.326,97.35,0.1,0
6/14/2024 7:00:00,0.06,57.308,97.42,0.1,0
6/14/2024 8:00:00,0.23,57.434,97.45,0.09,0
6/14/2024 9:00:00,0.14,58.55,97.45,0.08,0.08
6/14/2024 10:00:00,0.39,58.784,97.37,0.09,0.3
6/14/2024 11:00:00,1.24,60.224,97.31,0.06,0.6
6/14/2024 12:00:00,1.6,62.6,97.42,0.08,1.01
6/14/2024 13:00:00,0.88,65.66,97.43,0.06,1.18
6/14/2024 14:00:00,1.31,64.814,97.43,0.09,1.44
6/14/2024 15:00:00,3.12,64.652,97.42,0.08,2.05
6/14/2024 16:00:00,5.27,65.138,97.4,0.09,2.32
6/14/2024 17:00:00,8.3,66.596,97.38,0.08,2.26
6/14/2024 18:00:00,19.48,67.892,97.35,0.11,2.03
6/14/2024 19:00:00,38.56,67.712,97.33,0.1,1.59
6/14/2024 20:00:00,32.18,67.478,97.34,0.1,1.4
6/14/2024 21:00:00,7.29,66.758,97.38,0.13,0.88
6/14/2024 22:00:00,1.41,65.588,97.46,0.15,0.41
6/14/2024 23:00:00,0.43,63.914,97.53,0.13,0.07
6/15/2024 0:00:00,0.08,62.312,97.6,0.1,0
6/15/2024 1:00:00,0.01,60.602,97.65,0.1,0
6/15/2024 2:00:00,0,59.054,97.69,0.11,0
6/15/2024 3:00:00,0,57.452,97.74,0.1,0
6/15/2024 4:00:00,0.01,55.418,97.78,0.1,0
6/15/2024 5:00:00,0.04,53.42,97.8,0.09,0
6/15/2024 6:00:00,0.08,51.944,97.85,0.09,0
6/15/2024 7:00:00,0.09,50.99,97.93,0.09,0
6/15/2024 8:00:00,0.07,50.306,97.98,0.09,0
6/15/2024 9:00:00,0.05,50.378,98.02,0.09,0.22
6/15/2024 10:00:00,0,51.224,98.03,0.06,0.86
6/15/2024 11:00:00,0,50.594,98.08,0.11,1.57
6/15/2024 12:00:00,0,49.982,98.11,0.1,2.26
6/15/2024 13:00:00,0,48.65,98.13,0.1,2.86
6/15/2024 14:00:00,0,47.93,98.14,0.11,3.3
6/15/2024 15:00:00,0,48.2,98.14,0.12,3.57
6/15/2024 16:00:00,0,48.866,98.14,0.13,3.63
6/15/2024 17:00:00,0,49.676,98.1,0.12,3.48
6/15/2024 18:00:00,0,50.576,98.07,0.12,3.14
6/15/2024 19:00:00,0,51.53,98.04,0.12,2.5
6/15/2024 20:00:00,0,52.862,98.01,0.12,1.87
6/15/2024 21:00:00,0,55.004,98.01,0.11,1.24
6/15/2024 22:00:00,0,56.804,98.03,0.16,0.62
6/15/2024 23:00:00,0,56.93,98.06,0.67,0.1
6/16/2024 0:00:00,0,53.906,98.1,0.87,0
6/16/2024 1:00:00,0,53.51,98.12,0.85,0
6/16/2024 2:00:00,0,54.338,98.13,0.68,0
6/16/2024 3:00:00,0,54.158,98.14,0.39,0
6/16/2024 4:00:00,0,53.492,98.13,0.25,0
6/16/2024 5:00:00,0,53.006,98.11,0.13,0
6/16/2024 6:00:00,0,52.988,98.11,0.09,0
6/16/2024 7:00:00,0.09,52.646,98.13,0.09,0
6/16/2024 8:00:00,0.16,52.196,98.17,0.09,0
6/16/2024 9:00:00,0.38,52.79,98.22,0.09,0.16
6/16/2024 10:00:00,0.06,53.618,98.26,0.09,0.73
6/16/2024 11:00:00,0,55.436,98.26,0.08,1.42
6/16/2024 12:00:00,0,55.688,98.23,0.1,2.14
6/16/2024 13:00:00,0,55.598,98.17,0.11,2.73
6/16/2024 14:00:00,0,55.922,98.13,0.13,3.17
6/16/2024 15:00:00,0,56.426,98.09,0.13,3.43
6/16/2024 16:00:00,0,57.398,98.05,0.13,3.51
6/16/2024 17:00:00,0,58.802,97.99,0.13,3.37
6/16/2024 18:00:00,0.01,60.584,97.94,0.12,2.93
6/16/2024 19:00:00,0.11,62.582,97.88,0.12,2.43
6/16/2024 20:00:00,0.11,65.21,97.82,0.11,1.87
6/16/2024 21:00:00,0.08,67.1,97.78,0.1,1.19
6/16/2024 22:00:00,0.06,70.592,97.77,0.1,0.56
6/16/2024 23:00:00,0.03,68.756,97.78,0.1,0.09
6/17/2024 0:00:00,0.01,68.072,97.82,0.12,0
6/17/2024 1:00:00,0,68.072,97.86,0.12,0
6/17/2024 2:00:00,0,67.802,97.88,0.1,0
6/17/2024 3:00:00,0,67.37,97.89,0.09,0
6/17/2024 4:00:00,0.02,66.92,97.9,0.09,0
6/17/2024 5:00:00,0.62,66.452,97.9,0.1,0
6/17/2024 6:00:00,1.22,65.894,97.92,0.1,0
6/17/2024 7:00:00,1.55,65.48,97.93,0.09,0
6/17/2024 8:00:00,1.82,64.976,97.96,0.09,0
6/17/2024 9:00:00,1.14,65.3,98.01,0.08,0.17
6/17/2024 10:00:00,0.2,66.614,98.07,0.11,0.69
6/17/2024 11:00:00,0.16,68.162,98.11,0.11,1.31
6/17/2024 12:00:00,3.54,69.17,98.12,0.1,1.93
6/17/2024 13:00:00,8.01,69.8,98.1,0.11,2.31
6/17/2024 14:00:00,10.06,70.088,98.07,0.1,2.7
6/17/2024 15:00:00,8.36,70.232,98.04,0.1,3.01
6/17/2024 16:00:00,6.73,70.394,98.01,0.1,2.72
6/17/2024 17:00:00,6.32,70.772,97.97,0.11,2.53
6/17/2024 18:00:00,7.44,70.844,97.93,0.11,2.24
6/17/2024 19:00:00,9.44,71.24,97.89,0.11,1.38
6/17/2024 20:00:00,8.01,71.852,97.91,0.12,0.88
6/17/2024 21:00:00,7.2,73.13,97.96,0.11,0.59
6/17/2024 22:00:00,7.29,74.12,97.99,0.1,0.26
6/17/2024 23:00:00,7.47,73.526,98.01,0.09,0.05
6/18/2024 0:00:00,6.3,73.04,98.05,0.09,0
6/18/2024 1:00:00,5.14,72.518,98.08,0.07,0
6/18/2024 2:00:00,2.69,71.528,98.1,0.07,0
6/18/2024 3:00:00,1.21,70.844,98.1,0.06,0
6/18/2024 4:00:00,0.85,70.088,98.1,0.07,0
6/18/2024 5:00:00,0.56,69.296,98.1,0.07,0
6/18/2024 6:00:00,0.42,68.648,98.12,0.08,0
6/18/2024 7:00:00,0.33,68.036,98.16,0.08,0
6/18/2024 8:00:00,0.47,67.604,98.21,0.08,0
6/18/2024 9:00:00,0.68,68.09,98.26,0.08,0.14
6/18/2024 10:00:00,0.86,69.44,98.3,0.09,0.6
6/18/2024 11:00:00,0.39,71.294,98.34,0.06,1.14
6/18/2024 12:00:00,1.66,71.798,98.34,0.06,1.73
6/18/2024 13:00:00,2.61,70.52,98.34,0.06,2.04
6/18/2024 14:00:00,3.65,70.646,98.32,0.09,2.38
6/18/2024 15:00:00,3.85,70.97,98.31,0.11,2.44
6/18/2024 16:00:00,4.42,71.492,98.3,0.11,2.44
6/18/2024 17:00:00,5.46,72.212,98.28,0.12,2.57
6/18/2024 18:00:00,4.25,73.886,98.27,0.12,2.1
6/18/2024 19:00:00,2.61,73.454,98.26,0.13,1.64
6/18/2024 20:00:00,1.01,71.978,98.24,0.13,1.18
6/18/2024 21:00:00,0.61,72.734,98.24,0.16,0.74
6/18/2024 22:00:00,0.68,73.868,98.25,0.25,0.34
6/18/2024 23:00:00,1.31,74.624,98.25,0.41,0.06
6/19/2024 0:00:00,2,72.23,98.29,0.18,0
6/19/2024 1:00:00,2.02,71.87,98.32,0.1,0
6/19/2024 2:00:00,2.21,72.212,98.32,0.1,0
6/19/2024 3:00:00,1.56,72.482,98.34,0.09,0
6/19/2024 4:00:00,1.43,72.392,98.36,0.09,0
6/19/2024 5:00:00,0.96,71.798,98.38,0.1,0
6/19/2024 6:00:00,0.77,71.186,98.42,0.09,0
6/19/2024 7:00:00,0.5,70.574,98.48,0.08,0
6/19/2024 8:00:00,0.48,70.034,98.55,0.08,0
6/19/2024 9:00:00,0.48,69.692,98.6,0.09,0.11
6/19/2024 10:00:00,0.68,70.052,98.63,0.1,0.39
6/19/2024 11:00:00,0,70.502,98.66,0.11,0.81
6/19/2024 12:00:00,0,70.466,98.66,0.1,1.28
6/19/2024 13:00:00,0,70.556,98.65,0.08,1.35
6/19/2024 14:00:00,0,70.682,98.64,0.07,1.6
