pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,PS (kPa),WS2M (m/s),pm2.5_atm_REF_189231_clean.csv,pm2.5_atm_consensus_diff_REF_189231_clean.csv,pm2.5_atm_consensus_diff_perc_REF_189231_clean.csv,pm2.5_epa_REF_189231_clean.csv,pm2.5_epa_consensus_diff_REF_189231_clean.csv,pm2.5_epa_consensus_diff_perc_REF_189231_clean.csv,pm2.5_atm_a_b_diff_REF_189231_clean.csv,pm2.5_epa_a_b_diff_REF_189231_clean.csv,pm2.5_atm_LOC20_215409.csv,pm2.5_atm_consensus_diff_LOC20_215409.csv,pm2.5_atm_consensus_diff_perc_LOC20_215409.csv,pm2.5_epa_LOC20_215409.csv,pm2.5_epa_consensus_diff_LOC20_215409.csv,pm2.5_epa_consensus_diff_perc_LOC20_215409.csv,pm2.5_atm_a_b_diff_LOC20_215409.csv,pm2.5_epa_a_b_diff_LOC20_215409.csv,pm2.5_atm_LOC19_215403.csv,pm2.5_atm_consensus_diff_LOC19_215403.csv,pm2.5_atm_consensus_diff_perc_LOC19_215403.csv,pm2.5_epa_LOC19_215403.csv,pm2.5_epa_consensus_diff_LOC19_215403.csv,pm2.5_epa_consensus_diff_perc_LOC19_215403.csv,pm2.5_atm_a_b_diff_LOC19_215403.csv,pm2.5_epa_a_b_diff_LOC19_215403.csv,pm2.5_atm_LOC18_215377.csv,pm2.5_atm_consensus_diff_LOC18_215377.csv,pm2.5_atm_consensus_diff_perc_LOC18_215377.csv,pm2.5_epa_LOC18_215377.csv,pm2.5_epa_consensus_diff_LOC18_215377.csv,pm2.5_epa_consensus_diff_perc_LOC18_215377.csv,pm2.5_atm_a_b_diff_LOC18_215377.csv,pm2.5_epa_a_b_diff_LOC18_215377.csv,pm2.5_atm_LOC16_215393.csv,pm2.5_atm_consensus_diff_LOC16_215393.csv,pm2.5_atm_consensus_diff_perc_LOC16_215393.csv,pm2.5_epa_LOC16_215393.csv,pm2.5_epa_consensus_diff_LOC16_215393.csv,pm2.5_epa_consensus_diff_perc_LOC16_215393.csv,pm2.5_atm_a_b_diff_LOC16_215393.csv,pm2.5_epa_a_b_diff_LOC16_215393.csv,pm2.5_atm_LOC17_215405.csv,pm2.5_atm_consensus_diff_LOC17_215405.csv,pm2.5_atm_consensus_diff_perc_LOC17_215405.csv,pm2.5_epa_LOC17_215405.csv,pm2.5_epa_consensus_diff_LOC17_215405.csv,pm2.5_epa_consensus_diff_perc_LOC17_215405.csv,pm2.5_atm_a_b_diff_LOC17_215405.csv,pm2.5_epa_a_b_diff_LOC17_215405.csv
2.9322,0.0226,0.1503,0.0513,6,0.0356,0.0004,0.0196,0.5523,3.5741,0.0441,0.21,0.0587,0.0149,0.0001,0.0075,0.5047,43.0667,2.4905,68.3,1.4738,82.4013,6.3007,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:00:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,2.875,0.05719999999999992,0.019507537002932923,3.9464200000000007,-0.37232000000000065,-0.1041716795836716,0.054608695652173925,0.02084623532214012,2.9459999999999997,-0.013799999999999812,-0.004706363822385858,3.587104,-0.013004000000000016,-0.003638398477938506,0.031228784792939536,0.013439253503661952,2.74,0.1921999999999997,0.06554805265670817,3.46192,0.11217999999999995,0.03138692258190872,0.06350364963503655,0.026336830429357097,2.9290000000000003,0.0031999999999996476,0.0010913307414227023,3.3368360000000004,0.2372639999999997,0.06638426457010148,0.0283373164902697,0.013033903973704455,3.2,-0.26780000000000026,-0.09133074142282255,3.6340000000000003,-0.059900000000000286,-0.01675946392098718,0.01125000000000001,0.005190974133186569,2.903,0.029199999999999893,0.009958393015483218,3.4783720000000002,0.09572799999999981,0.026783805713326378,0.02445745780227357,0.010695808268925812
3.5178,0.0184,0.1357,0.0386,6,0.0184,0.0003,0.0176,0.9554,3.812,0.0602,0.2454,0.0644,0.0088,0.0001,0.0083,0.948,43.8667,2.4647,67.9,1.6334,83.4363,6.1214,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:10:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,3.5540000000000003,-0.036200000000000454,-0.010290522485644566,4.233256,-0.4212560000000001,-0.11050786988457505,0.037141249296567216,0.01633919611759845,3.71,-0.19220000000000015,-0.05463642049007907,3.9184800000000006,-0.1064800000000008,-0.027932843651626654,0.002156334231805932,0.0010698025765092517,3.417,0.1008,0.02865427255671158,3.7477080000000003,0.06429199999999957,0.016865687303252774,0.0008779631255486953,0.00041945637173443844,3.38,0.13779999999999992,0.039172209903917204,3.5214400000000006,0.29055999999999926,0.07622245540398721,0.004733727810650892,0.0023808442000999436,3.412,0.1057999999999999,0.030075615441469073,3.658888,0.1531119999999997,0.04016579223504714,0.029308323563892173,0.01432129105892288,3.634,-0.11620000000000008,-0.03303200864176476,3.792456,0.019543999999999784,0.0051269674711437,0.036323610346725405,0.018238313114245727
3.7603,0.0422,0.2055,0.0546,6,0.0214,0.0001,0.0121,0.5654,3.8931,0.0985,0.3138,0.0806,0.0109,0.0,0.0062,0.5687,44.4,2.6291,67.7333,1.3837,90.4913,4.5157,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:20:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,4.0920000000000005,-0.33170000000000055,-0.08821104699093173,4.497928,-0.6048279999999999,-0.1553589684313272,0.03176930596285438,0.015144751094281624,3.7359999999999998,0.02430000000000021,0.006462250352365559,3.8976239999999995,-0.004523999999999528,-0.001162055945133577,0.015524625267665968,0.007797571033019085,3.473,0.2873000000000001,0.07640347844586871,3.708092,0.18500799999999984,0.04752202614882737,0.006622516556291365,0.0032501890460107713,3.6639999999999997,0.09630000000000027,0.025609658803818918,3.6185359999999998,0.27456400000000025,0.07052580206005503,0.02565502183406116,0.01361213485232701,3.745,0.01529999999999987,0.0040688242959338,3.7644200000000003,0.12867999999999968,0.03305335080013349,0.011481975967957256,0.0059855170251991,3.8520000000000003,-0.09170000000000034,-0.024386352152753858,3.872208,0.02089199999999991,0.005366417507898567,0.03738317757009343,0.019486556507295055
3.3025,0.0089,0.0944,0.0286,6,0.0401,0.0003,0.0179,0.4454,3.6302,0.0639,0.2528,0.0696,0.0193,0.0001,0.0088,0.4557,44.6667,2.5193,67.5333,1.4514,92.114,6.5846,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:30:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,3.432,-0.12949999999999973,-0.03921271763815283,4.100368,-0.4701679999999997,-0.12951572916092768,0.02039627039627035,0.008945538546784105,3.39,-0.08749999999999991,-0.026495079485238427,3.7163199999999996,-0.08611999999999975,-0.023723210842377763,0.05722713864306783,0.027353941533560074,3.222,0.08050000000000024,0.02437547312641945,3.559328,0.07087200000000005,0.019522891300754793,0.025450031036623168,0.01207194166988822,3.311,-0.00849999999999973,-0.0025738077214230823,3.3990840000000007,0.2311159999999992,0.06366481185609586,0.02869223799456357,0.014645122038760944,3.269,0.033500000000000085,0.01014383043149132,3.514996,0.11520399999999986,0.031734890639634146,0.06332211685530745,0.030858641090914473,3.191,0.11150000000000038,0.033762301286903974,3.491364,0.13883599999999996,0.038244724808550484,0.045440300846129746,0.021762268271082637
2.3413,0.021,0.1449,0.0619,6,0.0262,0.0007,0.0268,1.0203,3.141,0.0852,0.2919,0.0929,0.0102,0.0001,0.0105,1.0244,44.5,2.7151,67.5333,1.4514,83.2563,4.8819,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:40:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,2.5069999999999997,-0.16569999999999974,-0.07077264767436883,3.667388,-0.5263879999999999,-0.16758611907035972,0.03310729956122855,0.011859121532818416,2.5330000000000004,-0.19170000000000043,-0.08187758937342521,3.250012,-0.10901199999999989,-0.034706144539955394,0.015396762731938381,0.006287976782854925,2.307,0.0343,0.014649980779908598,3.1143479999999997,0.026652000000000342,0.008485195797516823,0.006501950585175607,0.0025238027349544683,2.262,0.07929999999999993,0.033870072182121014,2.8494080000000004,0.29159199999999963,0.09283412925819791,0.019451812555260847,0.008091505323211061,2.262,0.07929999999999993,0.033870072182121014,3.004568,0.1364320000000001,0.0434358484559058,0.0769230769230769,0.030345793471806905,2.177,0.1642999999999999,0.07017468927518895,2.9600280000000003,0.1809719999999997,0.05761604584527211,0.0059715204409737715,0.0023013295820174056
2.3152,0.0174,0.132,0.057,6,0.0323,0.0003,0.0161,0.4988,3.0784,0.0396,0.1989,0.0646,0.0124,0.0,0.0052,0.4151,45.0667,2.706,67.2,1.59,78.4213,4.026,0.0,97.74,0.85,15.7,0.0,Light,1.0,2024-10-03 00:50:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,0,0.0,1.0,97.74,0.85,2.141,0.1741999999999999,0.07524187975120936,3.423884,-0.34548400000000035,-0.11222843035343047,0.05744978981784213,0.018824235867803917,2.425,-0.1097999999999999,-0.0474257083621285,3.1589400000000003,-0.0805400000000005,-0.026162941787941953,0.04164948453608247,0.016753721184954436,2.285,0.030199999999999783,0.013044229440221053,3.0338600000000002,0.04453999999999958,0.014468555093554958,0.035448577680525145,0.01399009842247175,2.377,-0.061799999999999855,-0.02669315825846573,2.857948,0.22045199999999987,0.07161252598752595,0.024821203197307507,0.010817551613955168,2.191,0.12420000000000009,0.05364547339322741,2.932884,0.14551599999999976,0.04727001039501032,0.012323140118667236,0.004823920755133871,2.472,-0.15680000000000005,-0.06772633033863168,3.062888,0.015511999999999748,0.0050389812889812076,0.02184466019417469,0.009238339762994957
2.354,0.0221,0.1486,0.0631,6,0.0337,0.0003,0.0185,0.5483,3.1016,0.089,0.2984,0.0962,0.0135,0.0001,0.0074,0.5502,45.0333,2.6994,66.9333,1.6133,79.8423,6.4665,0.0,97.77,0.78,37.7,0.0,Light,1.0,2024-10-03 01:00:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,1,0.25881904510252074,0.9659258262890683,97.77,0.78,2.543,-0.18900000000000006,-0.0802888700084962,3.634532,-0.5329320000000002,-0.17182486458602017,0.03657097915847423,0.013408053636616823,2.5380000000000003,-0.18400000000000016,-0.07816482582837729,3.200912,-0.09931200000000029,-0.03201960278565911,0.04097714736012603,0.017025147832867595,2.306,0.04800000000000004,0.020390824129141904,3.079344,0.022256000000000054,0.007175651276760399,0.0,0.0,2.199,0.15500000000000025,0.06584536958368745,2.764676,0.3369239999999998,0.10862909466082016,0.026830377444292834,0.011182503844935155,2.277,0.07699999999999996,0.03271028037383176,2.960708,0.14089200000000002,0.04542558679391283,0.04874835309617918,0.019645301056368986,2.261,0.09299999999999997,0.03950722175021239,2.969564,0.13203599999999982,0.04257028630384312,0.04909332153914196,0.01958671373979476
2.5118,0.0088,0.094,0.0374,6,0.0363,0.0012,0.0351,0.9675,3.0953,0.0687,0.2622,0.0847,0.0152,0.0002,0.0147,0.9638,46.0667,2.6553,66.7,1.5427,80.7523,3.8524,0.0,97.77,0.78,37.7,0.0,Light,1.0,2024-10-03 01:10:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,1,0.25881904510252074,0.9659258262890683,97.77,0.78,2.593,-0.08119999999999994,-0.032327414603073465,3.557292,-0.46199199999999996,-0.1492559687267793,0.05360586193598149,0.020475125460603212,2.66,-0.1482000000000001,-0.05900151285930413,3.1958800000000007,-0.10058000000000078,-0.032494427034536484,0.03082706766917296,0.01344481019312361,2.4690000000000003,0.04279999999999973,0.01703957321442779,3.078556,0.016744000000000092,0.005409491810163826,0.003645200486026779,0.0015318870275544583,2.4290000000000003,0.08279999999999976,0.03296440799426696,2.7989960000000003,0.2963039999999997,0.09572707007398304,0.027583367641004504,0.012543069014746605,2.488,0.023800000000000043,0.009475276694004317,2.9505920000000003,0.14470799999999961,0.04675088036700792,0.004823151125401934,0.002131097759364849,2.4320000000000004,0.07979999999999965,0.03177004538577898,2.990208,0.10509199999999996,0.033952120957580836,0.09703947368421051,0.04135632036299816
2.6642,0.0293,0.1711,0.0642,6,0.03,0.0005,0.0216,0.721,3.0601,0.0725,0.2692,0.088,0.0141,0.0001,0.0104,0.7366,47.4,2.5612,66.1333,1.5267,81.249,6.0489,0.0,97.77,0.78,37.7,0.0,Light,1.0,2024-10-03 01:20:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,1,0.25881904510252074,0.9659258262890683,97.77,0.78,2.774,-0.1097999999999999,-0.041213122137977586,3.531456,-0.4713560000000001,-0.1540328747426555,0.0007209805335255954,0.00029676144910199587,2.801,-0.13680000000000003,-0.051347496434201646,3.1490839999999998,-0.08898399999999995,-0.029078788274892964,0.014637629418065028,0.006822301342231602,2.448,0.21620000000000017,0.08115006380902341,2.946872000000001,0.113227999999999,0.03700140518283684,0.022058823529411693,0.009602045830290515,2.45,0.21419999999999995,0.08039936941671043,2.7238000000000007,0.33629999999999916,0.10989836933433521,0.03836734693877554,0.018083559732726323,2.811,-0.14679999999999982,-0.05510096839576601,3.0164040000000005,0.04369599999999929,0.014279271919218095,0.04375667022411953,0.021367164345359627,2.7009999999999996,-0.0367999999999995,-0.013812776818556976,2.993244,0.06685600000000003,0.021847652037515125,0.06034801925212886,0.028534927322998
2.8902,0.0135,0.116,0.0401,6,0.0361,0.0012,0.0344,0.9537,3.1067,0.0717,0.2678,0.0862,0.018,0.0003,0.0172,0.9561,48.2333,2.5688,65.9667,1.5971,79.618,8.408,0.0,97.77,0.78,37.7,0.0,Light,1.0,2024-10-03 01:30:00+00:00,277,-0.9984354211555643,0.05591699010060302,3,1,0.25881904510252074,0.9659258262890683,97.77,0.78,3.013,-0.1227999999999998,-0.04248840910663615,3.5877320000000004,-0.48103200000000035,-0.1548369652686131,0.0009956853634251954,0.0004381598179573911,3.0229999999999997,-0.13279999999999959,-0.045948377274928925,3.179212,-0.07251200000000013,-0.023340522097402432,0.01819384717168374,0.009065139411904606,2.7910000000000004,0.09919999999999973,0.034322884229464994,3.040404,0.06629599999999991,0.02133968519651074,0.029738445001791455,0.014304677930959204,2.734,0.15620000000000012,0.05404470278873438,2.786416,0.320284,0.10309460198924905,0.02048280907095832,0.010531090834965073,2.877,0.013200000000000323,0.004567157982146676,2.999268,0.1074320000000002,0.034580744841793604,0.04831421619742789,0.024284592107140776,2.903,-0.012799999999999923,-0.004428759255414823,3.047372,0.059327999999999825,0.019096790806965535,0.09886324491904923,0.04935006293947702
