pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,pm2.5_atm_LOCREF_189231.csv,pm2.5_atm_consensus_diff_LOCREF_189231.csv,pm2.5_atm_consensus_diff_perc_LOCREF_189231.csv,pm2.5_epa_LOCREF_189231.csv,pm2.5_epa_consensus_diff_LOCREF_189231.csv,pm2.5_epa_consensus_diff_perc_LOCREF_189231.csv,pm2.5_atm_a_b_diff_LOCREF_189231.csv,pm2.5_epa_a_b_diff_LOCREF_189231.csv,pm2.5_atm_LOC30_245119.csv,pm2.5_atm_consensus_diff_LOC30_245119.csv,pm2.5_atm_consensus_diff_perc_LOC30_245119.csv,pm2.5_epa_LOC30_245119.csv,pm2.5_epa_consensus_diff_LOC30_245119.csv,pm2.5_epa_consensus_diff_perc_LOC30_245119.csv,pm2.5_atm_a_b_diff_LOC30_245119.csv,pm2.5_epa_a_b_diff_LOC30_245119.csv,pm2.5_atm_LOC29_245121.csv,pm2.5_atm_consensus_diff_LOC29_245121.csv,pm2.5_atm_consensus_diff_perc_LOC29_245121.csv,pm2.5_epa_LOC29_245121.csv,pm2.5_epa_consensus_diff_LOC29_245121.csv,pm2.5_epa_consensus_diff_perc_LOC29_245121.csv,pm2.5_atm_a_b_diff_LOC29_245121.csv,pm2.5_epa_a_b_diff_LOC29_245121.csv,pm2.5_atm_LOC28_234891.csv,pm2.5_atm_consensus_diff_LOC28_234891.csv,pm2.5_atm_consensus_diff_perc_LOC28_234891.csv,pm2.5_epa_LOC28_234891.csv,pm2.5_epa_consensus_diff_LOC28_234891.csv,pm2.5_epa_consensus_diff_perc_LOC28_234891.csv,pm2.5_atm_a_b_diff_LOC28_234891.csv,pm2.5_epa_a_b_diff_LOC28_234891.csv,pm2.5_atm_LOC26_245117.csv,pm2.5_atm_consensus_diff_LOC26_245117.csv,pm2.5_atm_consensus_diff_perc_LOC26_245117.csv,pm2.5_epa_LOC26_245117.csv,pm2.5_epa_consensus_diff_LOC26_245117.csv,pm2.5_epa_consensus_diff_perc_LOC26_245117.csv,pm2.5_atm_a_b_diff_LOC26_245117.csv,pm2.5_epa_a_b_diff_LOC26_245117.csv,pm2.5_atm_LOCZ27_243243.csv,pm2.5_atm_consensus_diff_LOCZ27_243243.csv,pm2.5_atm_consensus_diff_perc_LOCZ27_243243.csv,pm2.5_epa_LOCZ27_243243.csv,pm2.5_epa_consensus_diff_LOCZ27_243243.csv,pm2.5_epa_consensus_diff_perc_LOCZ27_243243.csv,pm2.5_atm_a_b_diff_LOCZ27_243243.csv,pm2.5_epa_a_b_diff_LOCZ27_243243.csv,pm2.5_atm_LOCZ31_243283.csv,pm2.5_atm_consensus_diff_LOCZ31_243283.csv,pm2.5_atm_consensus_diff_perc_LOCZ31_243283.csv,pm2.5_epa_LOCZ31_243283.csv,pm2.5_epa_consensus_diff_LOCZ31_243283.csv,pm2.5_epa_consensus_diff_perc_LOCZ31_243283.csv,pm2.5_atm_a_b_diff_LOCZ31_243283.csv,pm2.5_epa_a_b_diff_LOCZ31_243283.csv
6.7477,0.2011,0.4485,0.0665,7,0.0265,0.0005,0.0213,0.8039,6.5668,0.0736,0.2714,0.0413,0.0144,0.0001,0.0117,0.8149,31.5429,2.5396,34.8,1.9494,104.0031,11.8383,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:00:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,5.959,0.7887000000000004,0.11688427167775692,6.1658360000000005,0.4009639999999992,0.06105926783212512,0.01325725792918278,0.006713769227725195,6.884,-0.1363000000000003,-0.020199475376795104,6.426416,0.14038400000000006,0.02137784004385699,0.05055200464846024,0.028375380616505352,6.957000000000001,-0.2093000000000007,-0.031017976495694936,6.395708000000001,0.1710919999999989,0.02605409027227857,0.03579128934885728,0.02040055612294992,6.8469999999999995,-0.0992999999999995,-0.014716125494612904,6.579428,-0.012628000000000306,-0.001923006639459144,0.016795676938805282,0.009158850890989237,7.418,-0.6703000000000001,-0.09933755205477424,6.964832,-0.3980320000000006,-0.060612779435950635,0.0008088433540038053,0.0004514107447243255,6.513999999999999,0.23370000000000068,0.034634023445025815,6.835936,-0.2691360000000005,-0.04098434549552301,0.011667178385016899,0.005825683564035687,6.654999999999999,0.09270000000000067,0.013738014434548168,6.5995,-0.03270000000000017,-0.004979594322957936,0.056649135987979,0.0299337828623381
6.9647,0.3171,0.5631,0.0809,7,0.0465,0.0005,0.0229,0.4934,6.747,0.1155,0.3398,0.0504,0.0249,0.0001,0.012,0.4807,30.7714,2.4315,35.7429,1.9518,106.9166,15.9472,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:10:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,6.087,0.8776999999999999,0.12602122130170718,6.301868,0.4451320000000001,0.06597480361642212,0.04780680137999013,0.024196635029486543,6.875,0.08969999999999967,0.01287923385070422,6.507900000000001,0.23909999999999876,0.0354379724321919,0.02952727272727277,0.01634505754544475,7.1419999999999995,-0.1772999999999998,-0.025456947176475626,6.527128,0.21987199999999962,0.03258811323551202,0.024642957154858546,0.014129338355245961,6.997,-0.03230000000000022,-0.004637672835872359,6.778708,-0.03170800000000007,-0.004699570179338976,0.07188795197941977,0.038882335689927924,7.99,-1.0253000000000005,-0.14721380676841797,7.316280000000001,-0.5692800000000009,-0.0843752779012896,0.03053817271589484,0.017475547682702132,6.7829999999999995,0.1817000000000002,0.026088704466811233,6.994132,-0.24713199999999969,-0.03662842744923665,0.03700427539436826,0.018804906741822967,6.879,0.08570000000000011,0.012304909041308328,6.803076000000001,-0.0560760000000009,-0.008311249444197555,0.0838784707079518,0.04444283732829088
5.715,0.1496,0.3868,0.0677,7,0.0257,0.0004,0.0191,0.7423,6.2153,0.0555,0.2356,0.0379,0.0126,0.0001,0.0096,0.7619,29.3429,2.4596,34.6286,2.1274,107.1914,13.8895,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:20:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,5.1129999999999995,0.6020000000000003,0.10533683289588808,5.912172000000001,0.3031279999999992,0.048771258024552185,0.02562096616467823,0.011610622965637658,5.647,0.06799999999999962,0.011898512685914193,5.950628,0.264672,0.04258394606857272,0.015406410483442568,0.00766104014567881,6.12,-0.40500000000000025,-0.0708661417322835,6.129520000000001,0.08577999999999886,0.013801425514456078,0.05000000000000001,0.026159307743510062,5.716,-0.001000000000000334,-0.00017497812773409167,6.245384,-0.030083999999999556,-0.004840313420108371,0.007347795661301577,0.003523882598732124,6.266,-0.5510000000000002,-0.09641294838145235,6.550824,-0.3355240000000004,-0.05398355670683642,0.017555059048835035,0.0087988930858164,5.467,0.24800000000000022,0.04339457567804028,6.425228000000001,-0.20992800000000056,-0.03377600437629729,0.009694530821291373,0.004322336888278537,5.676,0.0389999999999997,0.0068241469816272445,6.293384,-0.0780839999999996,-0.012563190835518736,0.05461592670894997,0.02581123287566755
5.5109,0.2253,0.4747,0.0861,7,0.0369,0.0009,0.0297,0.8069,6.1453,0.0575,0.2398,0.039,0.0169,0.0002,0.0126,0.748,28.9143,2.4464,34.2286,2.1022,108.1897,12.6817,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:30:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,4.832,0.6789000000000005,0.12319221905677846,5.782168,0.36313199999999934,0.059091012643808984,0.05877483443708605,0.025737059179186776,6.141,-0.6300999999999997,-0.11433704113665638,6.243964,-0.09866400000000031,-0.016055196654353784,0.027845627747923835,0.014350499138047493,5.5280000000000005,-0.017100000000000115,-0.0031029414433214383,5.871032,0.2742680000000002,0.04463053064943944,0.034008683068017395,0.016779332832796676,5.765000000000001,-0.2541000000000002,-0.046108621096372676,6.27106,-0.12576000000000054,-0.020464419963224015,0.005724197745012995,0.002757428568694904,5.954000000000001,-0.44310000000000027,-0.08040428968045152,6.456296,-0.31099600000000027,-0.050607130652693975,0.039637218676520015,0.019154016482515704,5.103,0.4079000000000006,0.07401694822987182,6.268972,-0.123672,-0.020124648105055896,0.08837938467568099,0.03769740876175555,5.253,0.25790000000000024,0.046798163639333,6.123452,0.021847999999999423,0.0035552373358500684,0.003616980772891705,0.0016258803041160929
6.0769,0.2743,0.5237,0.0862,7,0.0363,0.0004,0.0201,0.5527,6.4148,0.0807,0.284,0.0443,0.0178,0.0001,0.0096,0.5382,29.2286,2.2073,33.4286,2.1053,106.9471,12.5696,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:40:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,5.199999999999999,0.8769000000000009,0.14430054797676461,5.975,0.43979999999999997,0.06856020452703124,0.02846153846153849,0.012979414225941472,6.385,-0.3080999999999996,-0.050700192532376634,6.37182,0.04298000000000002,0.006700130947184639,0.06155050900548157,0.032319180391159864,6.0920000000000005,-0.015100000000000335,-0.0024848195626059892,6.149328000000001,0.26547199999999904,0.04138429880900403,0.01543007222586997,0.008009980927997293,6.1899999999999995,-0.11309999999999931,-0.01861146308150526,6.49376,-0.07896000000000036,-0.01230903535573991,0.02584814216478186,0.01291085596018337,6.726,-0.6490999999999998,-0.10681432967466961,6.791864,-0.37706400000000073,-0.058780320508823466,0.026761819803746614,0.013887203866272901,5.569000000000001,0.5078999999999994,0.08357879840050014,6.444196,-0.0293960000000002,-0.004582527904221519,0.06805530615909498,0.030817808769317348,6.376,-0.29910000000000014,-0.04921917425002882,6.677424,-0.26262400000000063,-0.04094032549728763,0.027917189460476777,0.01396826081435
5.244,0.1314,0.3625,0.0691,7,0.0246,0.0005,0.0222,0.9012,5.9636,0.0637,0.2524,0.0423,0.0117,0.0001,0.0108,0.9238,29.4,2.3238,33.2286,1.9508,105.7583,11.7063,0.0,97.85,0.86,274.7,0.17,Light,0.0,2025-01-14 00:50:00+00:00,14,0.2386727660059501,0.9711000518829505,1,0,0.0,1.0,4.571,0.673,0.12833714721586575,5.662644,0.30095599999999934,0.05046549064323552,0.009407131918617403,0.0039790599585635255,5.218999999999999,0.025000000000000355,0.00476735316552257,5.726356,0.23724399999999957,0.03978201086591984,0.04617742862617362,0.022053117200537316,5.356,-0.1120000000000001,-0.02135774218154083,5.729184000000001,0.23441599999999863,0.039307800657320854,0.0141896938013443,0.0069510771516502695,5.357,-0.11300000000000043,-0.021548436308161792,6.040028,-0.07642800000000083,-0.01281574887651768,0.018480492813141722,0.008588701906679907,5.781,-0.5369999999999999,-0.10240274599542333,6.279444,-0.31584400000000024,-0.05296196928030053,0.06348382632762498,0.030625004379368645,5.114,0.1299999999999999,0.02479023646071699,6.188536,-0.22493600000000047,-0.03771815681802946,0.0003910833007430152,0.00016934538314068752,5.3100000000000005,-0.06600000000000072,-0.012585812356979543,6.1188400000000005,-0.15524000000000093,-0.026031256288148258,0.020338983050847474,0.009248811866301488
5.3501,0.1048,0.3238,0.0605,7,0.0481,0.0009,0.0293,0.6096,6.0611,0.0745,0.2729,0.045,0.0224,0.0002,0.0139,0.6228,28.9143,2.3434,33.4571,1.989,106.7863,12.6386,0.0,97.92,0.88,276.6,0.17,Light,0.0,2025-01-14 01:00:00+00:00,14,0.2386727660059501,0.9711000518829505,1,1,0.25881904510252074,0.9659258262890683,4.857,0.4931000000000001,0.0921665015607185,5.795268,0.2658319999999996,0.043858705515500425,0.032324480131768585,0.014195719680263279,5.5280000000000005,-0.17790000000000017,-0.03325171492121646,5.957232,0.1038679999999994,0.01713682334889697,0.07561505065123005,0.036767411442092474,5.306,0.04410000000000025,0.00824283658249383,5.737464000000001,0.3236359999999987,0.053395588259556634,0.020354315868827678,0.009863591300964982,5.288,0.062100000000000044,0.011607259677389216,6.072832,-0.011732000000000298,-0.001935622246786936,0.0052950075642965245,0.0024160062389343255,5.8629999999999995,-0.5128999999999992,-0.09586736696510331,6.3741319999999995,-0.31303199999999975,-0.05164607084522608,0.07624083233839325,0.036746650367453865,5.506,-0.15589999999999993,-0.02913964224967756,6.462904,-0.40180400000000027,-0.06629225718103979,0.07555394115510351,0.03372849109316795,5.103,0.24710000000000054,0.046186052597147816,6.0276119999999995,0.033488000000000184,0.005525069706818925,0.05153831079757004,0.022863449074027962
6.2126,0.2582,0.5082,0.0818,7,0.036,0.0002,0.0146,0.4061,6.5204,0.0981,0.3132,0.048,0.0181,0.0001,0.0078,0.4326,28.8286,2.3393,32.9714,2.1148,108.4717,13.4034,0.0,97.92,0.88,276.6,0.17,Light,0.0,2025-01-14 01:10:00+00:00,14,0.2386727660059501,0.9711000518829505,1,1,0.25881904510252074,0.9659258262890683,5.197,1.0156,0.16347422979106976,5.973428,0.5469720000000002,0.08388626464634075,0.02520685010583033,0.011491558950739904,6.442,-0.22940000000000005,-0.03692495895438303,6.436168,0.08423200000000008,0.012918225875713158,0.027320707854703533,0.014329023108159988,6.328,-0.11540000000000017,-0.018575153719859665,6.307472,0.21292800000000067,0.03265566529660767,0.026864728192161808,0.014122932293635239,6.335,-0.12239999999999984,-0.019701896146540877,6.56974,-0.04933999999999994,-0.0075670204281945794,0.04561957379636933,0.023050531680096846,6.843999999999999,-0.6313999999999993,-0.1016321668866496,6.905416000000001,-0.38501600000000025,-0.059047911171093835,0.06282875511396847,0.03262946070157105,6.039,0.17360000000000042,0.02794321218169533,6.759436,-0.23903599999999958,-0.03665971412796754,0.023017055803941016,0.010775455230288397,6.303,-0.09039999999999981,-0.014551073624569394,6.690892,-0.17049199999999942,-0.026147475614992855,0.04109154370934481,0.020283693115955233
5.6107,0.1976,0.4445,0.0792,7,0.0445,0.0006,0.0242,0.5441,6.1533,0.0729,0.2699,0.0439,0.0214,0.0001,0.0121,0.5634,29.4286,2.3705,33.0286,2.0213,112.1286,17.3702,0.0,97.92,0.88,276.6,0.17,Light,0.0,2025-01-14 01:20:00+00:00,14,0.2386727660059501,0.9711000518829505,1,1,0.25881904510252074,0.9659258262890683,4.897,0.7136999999999993,0.12720337925749003,5.816228000000001,0.33707199999999915,0.05477906164172057,0.026342658770675924,0.011621965301222713,5.88,-0.2693000000000003,-0.04799757606002822,6.07272,0.08057999999999943,0.013095412217834241,0.07278911564625849,0.03693106219288878,5.526,0.08469999999999978,0.015096155559912271,5.801024000000001,0.3522759999999989,0.057249930931369986,0.035468693449149505,0.017704460453878506,5.8740000000000006,-0.263300000000001,-0.04692819077833443,6.328176,-0.17487600000000025,-0.028419872263663444,0.061287027579162386,0.02980953753498644,6.247,-0.6363000000000003,-0.11340830912363882,6.523628,-0.37032800000000066,-0.06018364129816532,0.015527453177525208,0.00779137007812212,5.2620000000000005,0.3486999999999991,0.06214910795444403,6.266088,-0.11278800000000011,-0.018329676758812363,0.026225769669327315,0.011540214564493853,5.589,0.021699999999999164,0.0038676101021261457,6.265036,-0.1117360000000005,-0.018158711585653308,0.07353730542136339,0.034375540699207494
5.9047,0.2357,0.4855,0.0822,7,0.0169,0.0005,0.0216,1.274,6.2901,0.087,0.295,0.0469,0.0081,0.0001,0.01,1.2288,29.6286,2.4777,32.5429,2.1376,108.286,14.5416,0.0,97.92,0.88,276.6,0.17,Light,0.0,2025-01-14 01:30:00+00:00,14,0.2386727660059501,0.9711000518829505,1,1,0.25881904510252074,0.9659258262890683,5.115,0.7896999999999998,0.13374091825156229,5.895980000000001,0.39411999999999914,0.0626571914595951,0.008015640273704775,0.003643838683306262,6.446,-0.5412999999999997,-0.09167273527867625,6.352064,-0.061964000000000574,-0.009851035754598588,0.031026993484331328,0.01649857432166923,5.6579999999999995,0.24670000000000059,0.04178027672870774,5.852952,0.43714799999999965,0.06949778222921729,0.0021208907741251345,0.0010743296715913732,6.04,-0.13529999999999998,-0.02291394990431351,6.38068,-0.0905800000000001,-0.014400406988760132,0.010264900662251702,0.005091620328867816,6.438000000000001,-0.5333000000000006,-0.09031788236489585,6.589232000000001,-0.29913200000000106,-0.0475560006995121,0.002795899347623522,0.0014314263027921741,5.574,0.3307000000000002,0.056006232323403425,6.446816,-0.1567160000000003,-0.02491470723835874,0.0602798708288482,0.027310225699011762,6.062,-0.15730000000000022,-0.026639795417210056,6.512888,-0.22278800000000043,-0.03541883276895446,0.003959089409435833,0.0019309406211191868
