pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,PS (kPa),WS2M (m/s),pm2.5_atm_LOCREF 189231.csv,pm2.5_atm_consensus_diff_LOCREF 189231.csv,pm2.5_atm_consensus_diff_perc_LOCREF 189231.csv,pm2.5_epa_LOCREF 189231.csv,pm2.5_epa_consensus_diff_LOCREF 189231.csv,pm2.5_epa_consensus_diff_perc_LOCREF 189231.csv,pm2.5_atm_a_b_diff_LOCREF 189231.csv,pm2.5_epa_a_b_diff_LOCREF 189231.csv,pm2.5_atm_LOC36 243953.csv,pm2.5_atm_consensus_diff_LOC36 243953.csv,pm2.5_atm_consensus_diff_perc_LOC36 243953.csv,pm2.5_epa_LOC36 243953.csv,pm2.5_epa_consensus_diff_LOC36 243953.csv,pm2.5_epa_consensus_diff_perc_LOC36 243953.csv,pm2.5_atm_a_b_diff_LOC36 243953.csv,pm2.5_epa_a_b_diff_LOC36 243953.csv,pm2.5_atm_LOC35 245095.csv,pm2.5_atm_consensus_diff_LOC35 245095.csv,pm2.5_atm_consensus_diff_perc_LOC35 245095.csv,pm2.5_epa_LOC35 245095.csv,pm2.5_epa_consensus_diff_LOC35 245095.csv,pm2.5_epa_consensus_diff_perc_LOC35 245095.csv,pm2.5_atm_a_b_diff_LOC35 245095.csv,pm2.5_epa_a_b_diff_LOC35 245095.csv,pm2.5_atm_LOCZ33 243261.csv,pm2.5_atm_consensus_diff_LOCZ33 243261.csv,pm2.5_atm_consensus_diff_perc_LOCZ33 243261.csv,pm2.5_epa_LOCZ33 243261.csv,pm2.5_epa_consensus_diff_LOCZ33 243261.csv,pm2.5_epa_consensus_diff_perc_LOCZ33 243261.csv,pm2.5_atm_a_b_diff_LOCZ33 243261.csv,pm2.5_epa_a_b_diff_LOCZ33 243261.csv,pm2.5_atm_LOCPSR2 175049.csv,pm2.5_atm_consensus_diff_LOCPSR2 175049.csv,pm2.5_atm_consensus_diff_perc_LOCPSR2 175049.csv,pm2.5_epa_LOCPSR2 175049.csv,pm2.5_epa_consensus_diff_LOCPSR2 175049.csv,pm2.5_epa_consensus_diff_perc_LOCPSR2 175049.csv,pm2.5_atm_a_b_diff_LOCPSR2 175049.csv,pm2.5_epa_a_b_diff_LOCPSR2 175049.csv,pm2.5_atm_LOCZ37 243265.csv,pm2.5_atm_consensus_diff_LOCZ37 243265.csv,pm2.5_atm_consensus_diff_perc_LOCZ37 243265.csv,pm2.5_epa_LOCZ37 243265.csv,pm2.5_epa_consensus_diff_LOCZ37 243265.csv,pm2.5_epa_consensus_diff_perc_LOCZ37 243265.csv,pm2.5_atm_a_b_diff_LOCZ37 243265.csv,pm2.5_epa_a_b_diff_LOCZ37 243265.csv,pm2.5_atm_LOC34 233559.csv,pm2.5_atm_consensus_diff_LOC34 233559.csv,pm2.5_atm_consensus_diff_perc_LOC34 233559.csv,pm2.5_epa_LOC34 233559.csv,pm2.5_epa_consensus_diff_LOC34 233559.csv,pm2.5_epa_consensus_diff_perc_LOC34 233559.csv,pm2.5_atm_a_b_diff_LOC34 233559.csv,pm2.5_epa_a_b_diff_LOC34 233559.csv
9.6303,1.0973,1.0475,0.1088,7,0.0326,0.0004,0.0197,0.6042,8.1389,0.3295,0.574,0.0705,0.0198,0.0001,0.0114,0.5783,30.8283,5.7508,36.0283,3.522,97.7843,41.1899,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:00:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,9.062000000000001,0.5682999999999989,0.059011661111284065,7.8780942000000005,0.2608057999999991,0.0320443548882526,0.008717722357095534,0.005254570324888952,10.5455,-0.9152000000000005,-0.09503338421440666,8.3623682,-0.223468200000001,-0.027456806202312476,0.03418519747759708,0.022589533907392472,8.238,1.3923000000000005,0.14457493536026922,8.118592,0.020307999999999993,0.0024951774809863735,0.056567127943675674,0.03007713652810736,8.877500000000001,0.7527999999999988,0.07816994278475217,8.00545,0.13344999999999985,0.01639656464632811,0.04522669670515342,0.026280346513937347,9.2015,0.42880000000000074,0.04452613106549129,7.106346,1.0325539999999993,0.12686652987504446,0.0027712872901157507,0.0018802912213957443,10.387,-0.7567000000000004,-0.07857491459248418,8.865388000000001,-0.7264880000000016,-0.08926120237378535,0.03802830461153361,0.023346975902239102,11.1005,-1.4702000000000002,-0.15266398762240016,8.635862,-0.4969619999999999,-0.06106009411591246,0.04292599432457995,0.02891268989708261
10.3714,0.837,0.9149,0.0882,7,0.027,0.0004,0.0188,0.6955,8.473,0.3876,0.6226,0.0735,0.0172,0.0001,0.0115,0.6683,31.4571,5.0196,35.4283,2.7866,96.0846,39.6958,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:10:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,9.613,0.7584,0.0731241683861388,8.115012,0.35798800000000064,0.042250442582320386,0.002808696556746087,0.0017434354995408024,11.441500000000001,-1.0701000000000018,-0.10317797018724588,8.814546,-0.34154599999999924,-0.04030992564617009,0.02713805008084606,0.018458352818171275,9.506,0.8653999999999993,0.08344100121487931,8.489944000000001,-0.016944000000000514,-0.001999763956095894,0.02966547443719756,0.017405061800172074,10.075,0.2964000000000002,0.02857859112559541,8.6157,-0.1426999999999996,-0.01684173256225653,0.06312655086848637,0.038681012570075536,9.502500000000001,0.8688999999999982,0.08377846770927727,7.26407,1.2089300000000005,0.14268027853180695,0.03172849250197315,0.021748964423525557,10.8905,-0.5190999999999999,-0.0500511020691517,9.129222,-0.6562219999999996,-0.07744860143986776,0.017400486662687644,0.01087694000649773,11.5715,-1.2001000000000008,-0.11571243997917358,8.882666,-0.40966599999999964,-0.04834958102207006,0.016981376658168807,0.011591790122470025
9.8164,0.6188,0.7866,0.0801,7,0.0189,0.0002,0.0126,0.6667,8.1575,0.3839,0.6196,0.076,0.0119,0.0001,0.0081,0.6771,31.7427,4.791,35.2851,2.4737,100.5283,46.638,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:20:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,9.3215,0.49489999999999945,0.05041563098488239,7.9622660000000005,0.19523400000000013,0.023933067729083678,0.022796760178082964,0.013984712392175885,11.006,-1.1896000000000004,-0.12118495578827274,8.586344,-0.4288439999999998,-0.05257051792828682,0.016899872796656362,0.011351047663592378,9.4915,0.3248999999999995,0.033097673281447325,8.327186000000001,-0.16968600000000045,-0.020801225865767752,0.030817046831375487,0.018405977721645702,9.296,0.5204000000000004,0.05301332464039774,8.207504,-0.05000399999999949,-0.006129819184799202,0.020869191049913936,0.01238573870935662,8.8215,0.9948999999999995,0.10135080070086788,6.8900722000000005,1.2674278,0.1553696353049341,0.03542481437397268,0.023766078967938867,10.2655,-0.4490999999999996,-0.045749969438898135,8.801722000000002,-0.644222000000001,-0.07897296965982237,0.0022892211777311784,0.0013990444142633733,10.5125,-0.6960999999999995,-0.07091194327859496,8.32775,-0.17024999999999935,-0.02087036469506581,0.0033769322235433883,0.0022337366035243087
10.2589,0.5638,0.7509,0.0732,7,0.0311,0.0004,0.0205,0.6586,8.3845,0.2906,0.5391,0.0643,0.0201,0.0002,0.014,0.6975,31.7999,4.5854,35.4283,2.4724,103.2191,49.2129,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:30:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,9.503,0.7559000000000005,0.07368236360623463,8.091852,0.2926479999999998,0.03490345279980915,0.01788908765652951,0.011008604705078646,11.232,-0.9730999999999987,-0.09485422413709059,8.704768000000001,-0.3202680000000022,-0.038197626572843014,0.06116452991452994,0.04135526644707824,10.1025,0.15640000000000143,0.01524529920361846,8.54391,-0.15941000000000116,-0.019012463474268135,0.01935164563226924,0.011990060756726127,9.705,0.5539000000000005,0.05399214340718795,8.42182,-0.03732000000000113,-0.004451070427574827,0.029675425038639902,0.017919167115896556,9.586500000000001,0.6723999999999997,0.06554308941504446,7.308086,1.0764139999999989,0.12838141809290943,0.048870807906952446,0.03359210605895988,10.3935,-0.13459999999999894,-0.013120315043523081,8.868794000000001,-0.484294000000002,-0.057760629733436944,0.03978448068504354,0.024431055676792157,11.29,-1.0310999999999986,-0.10050785171899507,8.7524862,-0.3679862000000007,-0.043888866360546334,0.000974313551815777,0.0006585557369973462
10.8997,0.6464,0.804,0.0738,7,0.0211,0.0004,0.0202,0.9567,8.708,0.304,0.5514,0.0633,0.0136,0.0002,0.0127,0.9329,31.9426,4.5891,35.5997,2.6103,108.8249,58.7033,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:40:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,10.068000000000001,0.8316999999999979,0.07630485242713084,8.387912,0.32008800000000015,0.036757923748277466,0.010727056019070286,0.006746851898303201,12.108,-1.2083000000000013,-0.11085626209895698,9.163792,-0.45579200000000064,-0.052341754708314266,0.008754542451271875,0.006061246261373049,10.690000000000001,0.209699999999998,0.019239061625549145,8.76556,-0.0575600000000005,-0.006610013780431844,0.0013096351730589554,0.0008369117318232324,10.252500000000001,0.647199999999998,0.05937778103984495,8.725950000000001,-0.0179500000000008,-0.0020613229214516307,0.056522799317239726,0.03479942012044538,10.2665,0.6331999999999987,0.05809334201858755,7.6472522000000005,1.0607477999999997,0.12181302250803855,0.007061802951346592,0.004967797452789726,11.108,-0.20830000000000126,-0.019110617723423696,9.243192,-0.5351920000000003,-0.06145980707395502,0.02394670507742168,0.01507963915495856,11.805,-0.9053000000000004,-0.08305733185317031,9.022346200000001,-0.314346200000001,-0.036098553054662495,0.03922066920796274,0.026890123103456197
10.7119,0.6073,0.7793,0.0727,7,0.023,0.0009,0.0307,1.3342,8.5751,0.4047,0.6361,0.0742,0.015,0.0004,0.0198,1.3233,32.3426,4.6345,35.1137,2.5029,109.3987,61.3721,0.0,98.25,0.53,339.2,0.0,Light,0.0,2025-03-03 00:50:00+00:00,62,0.8758917051442429,0.48250774176121847,0,0,0.0,1.0,98.25,0.53,10.060500000000001,0.6513999999999989,0.06081087388791894,8.349502000000001,0.22559799999999974,0.02630849786008323,0.004125043486904238,0.0026044667095115686,11.464500000000001,-0.752600000000001,-0.07025831085054948,8.826598,-0.2514979999999998,-0.029328870800340492,0.0022242574905142025,0.00151383352906747,10.482,0.22990000000000066,0.021462112230323346,8.5532142,0.02188580000000151,0.0025522501195323097,0.0010494180499904715,0.0006738987081605068,10.192,0.5198999999999998,0.04853480708371062,8.677008,-0.10190799999999989,-0.01188417627782765,0.07545133437990582,0.046439510024653616,9.7425,0.9694000000000003,0.09049748410646107,7.320870000000001,1.2542299999999997,0.146264183508064,0.0579420066717988,0.04040476063637239,11.32,-0.6081000000000003,-0.05676864048394779,9.3371262,-0.7620261999999993,-0.08886499282807189,0.016961130742049486,0.010775049822074832,11.722000000000001,-1.0101000000000013,-0.09429699679795381,8.961528000000001,-0.38642800000000044,-0.04506396426863831,0.0034123869646817974,0.002338886850545983
10.9724,1.0639,1.0314,0.094,7,0.0289,0.0002,0.0138,0.477,8.6623,0.44,0.6634,0.0766,0.0191,0.0001,0.0085,0.446,32.9139,4.8165,34.4567,2.665,105.5433,55.2296,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:00:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,10.144,0.8284000000000002,0.07549852356822576,8.324296,0.33800399999999975,0.039020121676690916,0.029376971608832812,0.018758583308426276,12.083,-1.1105999999999998,-0.1012176005249535,9.0818182,-0.4195182000000006,-0.04843034759821302,0.02549035835471322,0.017770890855313456,11.724,-0.7515999999999998,-0.06849914330501986,9.134976,-0.4726759999999999,-0.0545670318506632,0.032838621630842696,0.02208434920901808,9.951,1.0213999999999999,0.0930881119900842,8.550724,0.11157599999999945,0.012880643708945597,0.051150638126821454,0.031192212495690493,9.8955,1.0769000000000002,0.09814625788341659,7.349322000000001,1.3129779999999993,0.15157383143045142,0.03117578697387706,0.021995770494203464,10.753,0.21940000000000026,0.01999562538733552,9.022778200000001,-0.3604782000000011,-0.04161460582062513,0.004184878638519476,0.002613385752960206,12.256,-1.2835999999999999,-0.11698443366993545,9.172470200000001,-0.510170200000001,-0.05889546656199866,0.02798629242819843,0.019594721605091674
10.9439,0.6946,0.8334,0.0762,7,0.0226,0.0002,0.0136,0.6029,8.6597,0.3184,0.5643,0.0652,0.0152,0.0001,0.0094,0.616,32.7711,4.7824,34.657,2.5238,107.0591,57.5768,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:10:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,10.5475,0.39639999999999986,0.03622109120149123,8.552970000000002,0.10672999999999888,0.01232490732935308,0.026973216401991035,0.017429968771081886,11.972000000000001,-1.028100000000002,-0.0939427443598719,9.006328,-0.34662799999999905,-0.04002771458595552,0.022385566321416618,0.015592592230707084,11.350000000000001,-0.4061000000000021,-0.03710742970970149,8.939,-0.2792999999999992,-0.03225284940586847,0.04334801762114537,0.02884080993399717,9.612,1.3318999999999992,0.12170250093659475,8.373088000000001,0.28661199999999987,0.033097220457983516,0.009051186017478126,0.005444586274502358,10.281500000000001,0.6623999999999981,0.060526868849313145,7.568912200000001,1.0907878000000002,0.1259613843435685,0.03389583232018679,0.024126848769629016,11.1785,-0.23460000000000036,-0.021436599384131835,9.262980200000001,-0.6032802000000004,-0.06966525399263257,0.004249228429574659,0.0026870401817333123,11.665500000000002,-0.7216000000000022,-0.06593627500251302,8.914681999999999,-0.25498199999999827,-0.02944466898391379,0.018387553041018398,0.012608189501319261
11.0383,0.7897,0.8886,0.0805,7,0.0224,0.0006,0.0253,1.127,8.6796,0.3963,0.6295,0.0725,0.0145,0.0002,0.0156,1.0747,33.114,4.8621,34.571,2.5417,111.8421,65.6367,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:20:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,10.307,0.7312999999999992,0.06625114374496066,8.392468000000001,0.2871319999999997,0.03308124798377802,0.0,0.0,12.0295,-0.991200000000001,-0.08979643604540563,9.036458,-0.356857999999999,-0.04111456749158936,0.0030342075730496027,0.0021165372538665995,10.999500000000001,0.03879999999999839,0.0035150340179192804,8.7209442,-0.041344199999999276,-0.0047633761924511814,0.03322878312650574,0.02196115416034893,9.96,1.0782999999999987,0.09768714385367301,8.50372,0.17588000000000115,0.02026360661781662,0.07259036144578311,0.04455132577272067,10.2895,0.7487999999999992,0.06783653279943463,7.521298,1.1583020000000008,0.13345108069496298,0.007046017785120733,0.005050989869035929,11.52,-0.4817,-0.043638966145149165,9.441926200000001,-0.7623262000000004,-0.08782964652748979,0.014583333333333347,0.009323521295898205,12.162500000000001,-1.1242000000000019,-0.10184539285940787,9.140630000000002,-0.46103000000000094,-0.05311650306465746,0.02635149023638232,0.018373131830081733
11.3323,0.7336,0.8565,0.0756,7,0.0279,0.0006,0.0247,0.8847,8.8534,0.3768,0.6139,0.0693,0.0185,0.0002,0.0157,0.8477,32.8853,4.7801,34.6286,2.5362,115.1764,71.0347,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:30:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,10.611,0.7212999999999994,0.0636499210222108,8.551764,0.30163600000000024,0.034070074773533354,0.003298463858260309,0.0021445867776519844,12.198,-0.8657000000000004,-0.0763922592942298,9.124752,-0.27135200000000026,-0.030649468000993996,0.012870962452861127,0.009015916268190084,11.4865,-0.15419999999999945,-0.013607123002391346,8.993286000000001,-0.13988600000000062,-0.015800257528181334,0.05689287424367738,0.03807662738625235,10.310500000000001,1.021799999999999,0.09016704464230553,8.7219482,0.13145180000000067,0.014847606569227716,0.06503079385092862,0.040282513945680144,10.5295,0.8027999999999995,0.07084175321867578,7.698864200000001,1.1545357999999997,0.130405923148169,0.02787406809440143,0.019976193371484527,11.738,-0.4056999999999995,-0.03580032297062375,9.573312000000001,-0.7199120000000008,-0.08131474913592526,0.0034077355597205688,0.002189419920712878,12.4525,-1.1202000000000005,-0.09885018928196398,9.3099162,-0.4565161999999994,-0.051563941536584744,0.025898413973097754,0.018151613437723528
11.5876,1.0058,1.0029,0.0865,7,0.0293,0.0005,0.0225,0.7685,8.928,0.5458,0.7388,0.0827,0.0197,0.0002,0.0144,0.7312,33.5713,4.8667,33.5426,2.7076,108.11,59.8657,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:40:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,10.463000000000001,1.1245999999999992,0.0970520211260312,8.456972,0.47102800000000045,0.05275851254480291,0.013571633374749148,0.008798420995126864,12.673,-1.0854,-0.09366909454934584,9.356412,-0.4284119999999998,-0.047985215053763415,0.012625266314211327,0.008960699892223681,12.525500000000001,-0.9379000000000008,-0.08093997031309338,9.451522,-0.5235219999999998,-0.05863821684587811,0.019759690231926835,0.01372159954767065,11.04,0.547600000000001,0.04725741309675869,9.06964,-0.14163999999999888,-0.015864695340501667,0.0750905797101449,0.04789561658456119,10.2335,1.3541000000000007,0.11685767544616665,7.4747140000000005,1.4532860000000003,0.16277844982078854,0.042360873601407105,0.03038965771800768,11.894,-0.3064,-0.026442058752459526,9.586096000000001,-0.6580960000000005,-0.07371146953405022,0.021019001177064067,0.013665625714576541,12.284,-0.6964000000000006,-0.06009872622458495,9.100942200000002,-0.17294220000000138,-0.01937076612903241,0.020351676978183002,0.01439411405118025
10.1724,0.616,0.7848,0.0772,7,0.0314,0.0002,0.0153,0.4861,8.1003,0.3629,0.6024,0.0744,0.0205,0.0001,0.0096,0.466,34.5709,4.6622,32.914,2.4025,102.5733,49.9914,0.0,98.31,0.51,350.9,0.0,Light,0.0,2025-03-03 01:50:00+00:00,62,0.8758917051442429,0.48250774176121847,0,1,0.25881904510252074,0.9659258262890683,98.31,0.51,9.5505,0.6219000000000001,0.06113601509968151,7.9271882,0.17311180000000093,0.021371035640655397,0.025496047327365066,0.01609574502091425,11.4565,-1.2841000000000005,-0.12623373048641426,8.5811322,-0.48083220000000004,-0.05935980148883375,0.04298869637323788,0.030074120056092366,10.647,-0.4746000000000006,-0.046655656482246136,8.3638342,-0.2635341999999987,-0.03253388146118029,0.008077392692777336,0.005387959507853467,9.523,0.6494,0.06383940859580826,8.154052,-0.053751999999999356,-0.006635803612211813,0.05418460569148378,0.03315946476671966,9.222000000000001,0.9503999999999984,0.09342927922614117,6.8930542,1.2072458000000008,0.14903717146278542,0.021036651485577956,0.014747599112161369,10.440000000000001,-0.2676000000000016,-0.026306476347764698,8.720760000000002,-0.6204600000000013,-0.07659716306803467,0.038888888888888855,0.024395121526105498,10.368,-0.19560000000000066,-0.019228500648814505,8.062392,0.03790800000000161,0.00467982667308638,0.029320987654321014,0.019757908074923714
