pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,pm2.5_atm_LOCREF_189231.csv.csv,pm2.5_atm_consensus_diff_LOCREF_189231.csv.csv,pm2.5_atm_consensus_diff_perc_LOCREF_189231.csv.csv,pm2.5_epa_LOCREF_189231.csv.csv,pm2.5_epa_consensus_diff_LOCREF_189231.csv.csv,pm2.5_epa_consensus_diff_perc_LOCREF_189231.csv.csv,pm2.5_atm_a_b_diff_LOCREF_189231.csv.csv,pm2.5_epa_a_b_diff_LOCREF_189231.csv.csv,pm2.5_atm_LOC13_215475.csv,pm2.5_atm_consensus_diff_LOC13_215475.csv,pm2.5_atm_consensus_diff_perc_LOC13_215475.csv,pm2.5_epa_LOC13_215475.csv,pm2.5_epa_consensus_diff_LOC13_215475.csv,pm2.5_epa_consensus_diff_perc_LOC13_215475.csv,pm2.5_atm_a_b_diff_LOC13_215475.csv,pm2.5_epa_a_b_diff_LOC13_215475.csv,pm2.5_atm_LOC15_215479.csv.csv,pm2.5_atm_consensus_diff_LOC15_215479.csv.csv,pm2.5_atm_consensus_diff_perc_LOC15_215479.csv.csv,pm2.5_epa_LOC15_215479.csv.csv,pm2.5_epa_consensus_diff_LOC15_215479.csv.csv,pm2.5_epa_consensus_diff_perc_LOC15_215479.csv.csv,pm2.5_atm_a_b_diff_LOC15_215479.csv.csv,pm2.5_epa_a_b_diff_LOC15_215479.csv.csv,pm2.5_atm_LOC11_215381.csv.csv,pm2.5_atm_consensus_diff_LOC11_215381.csv.csv,pm2.5_atm_consensus_diff_perc_LOC11_215381.csv.csv,pm2.5_epa_LOC11_215381.csv.csv,pm2.5_epa_consensus_diff_LOC11_215381.csv.csv,pm2.5_epa_consensus_diff_perc_LOC11_215381.csv.csv,pm2.5_atm_a_b_diff_LOC11_215381.csv.csv,pm2.5_epa_a_b_diff_LOC11_215381.csv.csv,pm2.5_atm_LOC12_215481.csv.csv,pm2.5_atm_consensus_diff_LOC12_215481.csv.csv,pm2.5_atm_consensus_diff_perc_LOC12_215481.csv.csv,pm2.5_epa_LOC12_215481.csv.csv,pm2.5_epa_consensus_diff_LOC12_215481.csv.csv,pm2.5_epa_consensus_diff_perc_LOC12_215481.csv.csv,pm2.5_atm_a_b_diff_LOC12_215481.csv.csv,pm2.5_epa_a_b_diff_LOC12_215481.csv.csv,pm2.5_atm_LOC14_215477.csv.csv,pm2.5_atm_consensus_diff_LOC14_215477.csv.csv,pm2.5_atm_consensus_diff_perc_LOC14_215477.csv.csv,pm2.5_epa_LOC14_215477.csv.csv,pm2.5_epa_consensus_diff_LOC14_215477.csv.csv,pm2.5_epa_consensus_diff_perc_LOC14_215477.csv.csv,pm2.5_atm_a_b_diff_LOC14_215477.csv.csv,pm2.5_epa_a_b_diff_LOC14_215477.csv.csv
9.3546,0.1458,0.3819,0.0408,6,0.0278,0.0003,0.0171,0.6137,5.1538,0.1466,0.3828,0.0743,0.0265,0.0003,0.0167,0.6309,63.7819,3.2234,80.1992,1.1323,71.2725,28.4831,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:00:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.154,0.20059999999999967,0.021443995467470514,5.5298560000000005,-0.37605600000000017,-0.07296674298575812,0.02660039327070134,0.023073656890884718,9.487883333333334,-0.13328333333333475,-0.014247892302539367,5.167928533333334,-0.014128533333333415,-0.0027413817636177994,0.011518199528170193,0.011080738887410903,9.255016666666666,0.09958333333333336,0.010645386583427764,4.910428733333334,0.2433712666666663,0.04722171342827938,0.027766922804028808,0.027423118016673912,9.952916666666669,-0.598316666666669,-0.06395962057882422,5.633140000000001,-0.47934000000000054,-0.09300710155613344,0.029706534935320543,0.027503192417254577,8.81475,0.5398499999999995,0.05770957603745746,4.610338,0.5434620000000008,0.10544879506383653,0.012609546498766206,0.012633043390744846,9.463,-0.10839999999999961,-0.011587881897675968,5.071132,0.08266799999999996,0.016040203345104576,0.05873401669660789,0.057430806376170075
9.3018,0.097,0.3114,0.0335,6,0.0429,0.0004,0.0211,0.4916,5.1857,0.0895,0.2992,0.0577,0.0408,0.0004,0.0202,0.4953,63.0911,2.9164,80.3336,1.1146,70.9991,25.676,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:10:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.05775,0.24404999999999966,0.02623685738244207,5.496661,-0.3109609999999998,-0.05996509632257937,0.012006292953548034,0.010367202925557829,9.670258333333335,-0.36845833333333466,-0.039611508883585396,5.317655366666668,-0.13195536666666818,-0.02544600857486322,0.04742289718216768,0.04518947106644949,9.424483333333336,-0.12268333333333636,-0.013189203523332728,5.068189266666668,0.11751073333333206,0.022660534418368218,0.04724750605249819,0.0460378360771296,9.594375,-0.29257499999999936,-0.0314535896278139,5.489800833333334,-0.30410083333333393,-0.05864219552487301,0.060247975159055944,0.0551739202439191,8.8847,0.4170999999999996,0.04484078350426795,4.7504318,0.43526819999999944,0.08393624775825818,0.023898762291729995,0.023421590152429242,9.179458333333333,0.12234166666666724,0.013152472281350623,4.991516166666667,0.19418383333333278,0.037446021430729275,0.06683491672983613,0.06440495351162008
9.8952,0.0543,0.2331,0.0236,6,0.027,0.0006,0.0252,0.931,5.3695,0.0698,0.2641,0.0492,0.0263,0.0006,0.025,0.9514,64.5667,2.7422,79.8472,0.7685,68.892,28.2524,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:20:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.63625,0.25895000000000046,0.02616925377961036,5.640325000000001,-0.2708250000000003,-0.05043765713753614,0.015592165001945754,0.013958592811584417,9.984266666666667,-0.08906666666666574,-0.009000997116446937,5.3146804,0.05481960000000008,0.010209442219946005,0.011062404850297906,0.010889798754408748,9.865483333333334,0.02971666666666728,0.0030031395693535527,5.230313266666668,0.1391867333333323,0.02592173076326144,0.07660209248068608,0.07571162818431057,10.306208333333334,-0.4110083333333332,-0.041536131996658295,5.7421215000000005,-0.37262150000000016,-0.06939594003166033,0.02605630101597321,0.02450589618024144,9.742041666666667,0.15315833333333373,0.015478043226345472,5.0634828333333335,0.3060171666666669,0.05699174348946212,0.009394847931431197,0.009471563660546281,9.8372,0.058000000000001606,0.005861427762955939,5.2258368,0.14366320000000066,0.02675541484309538,0.023502622697515584,0.023182660430574542
9.7403,0.0554,0.2355,0.0242,6,0.0108,0.0,0.0066,0.6061,5.2687,0.0711,0.2666,0.0506,0.0104,0.0,0.006,0.5823,64.7942,2.7602,79.74,0.8769,70.7723,31.1001,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:30:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.47825,0.26205000000000034,0.02690368879808634,5.535983,-0.26728299999999994,-0.05073035094045968,0.011631894073272994,0.010435545051348567,9.694241666666668,0.04605833333333109,0.004728636010526482,5.140582633333333,0.1281173666666673,0.02431669418768715,0.0038192775952046987,0.0037741052685733626,9.821750000000002,-0.08145000000000202,-0.008362165436383072,5.172916999999999,0.09578300000000084,0.01817962685292403,0.009952401557767155,0.009901763357115526,10.144583333333332,-0.404283333333332,-0.04150625066305268,5.647373333333334,-0.3786733333333343,-0.07187225185213322,0.02312399884996105,0.021766166217687104,9.55,0.1902999999999988,0.01953738591213811,4.943745333333334,0.32495466666666584,0.06167644137389979,0.008338568935427516,0.008440537255290039,9.753000000000002,-0.012700000000002376,-0.001303861277373631,5.171372000000001,0.09732799999999919,0.018472868069922217,0.008100071772787924,0.008004838947962098
9.5745,0.1064,0.3262,0.0341,6,0.0129,0.0001,0.0078,0.6043,5.2412,0.1244,0.3527,0.0673,0.0123,0.0001,0.0076,0.6158,64.1047,3.3171,79.5836,1.2087,77.945,23.7903,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:40:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.33875,0.23575000000000124,0.024622695702125566,5.592185,-0.35098499999999966,-0.0669665343814393,0.013358318832820204,0.011689348617758456,9.776341666666665,-0.20184166666666492,-0.021081170470172324,5.232880699999999,0.008319300000001029,0.0015872891704191842,0.005001018615518189,0.004895818345970116,9.7266,-0.152099999999999,-0.015885947046843072,5.1575384,0.08366160000000011,0.015962298710219057,0.018920623170823603,0.018697576089140976,9.943333333333335,-0.3688333333333347,-0.03852246418437878,5.650386666666667,-0.4091866666666668,-0.07807117962807503,0.016853838417700266,0.015541178302841773,9.049833333333334,0.5246666666666666,0.05479833585739899,4.682232666666666,0.5589673333333343,0.10664873184258075,0.0019926702149210863,0.0020181540174067994,9.611999999999998,-0.03749999999999787,-0.003916653611154407,5.131967999999999,0.10923200000000133,0.020841028772037192,0.021306699958385408,0.020911120256400656
9.7792,0.0566,0.2379,0.0243,6,0.0302,0.0005,0.0233,0.7698,5.3542,0.0591,0.2431,0.0454,0.0289,0.0005,0.0225,0.7794,64.0381,2.9955,79.5203,1.1781,77.4159,24.0314,0.05,97.38,0.07,315.0,10.03,Medium,2.0,2024-07-18 00:50:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,0,0.0,1.0,9.44875,0.330449999999999,0.03379110765706796,5.615345,-0.26114499999999996,-0.048773859773635644,0.02505622436830266,0.02209249832378956,10.041241666666668,-0.2620416666666685,-0.026795818335515025,5.440648300000001,-0.08644830000000159,-0.016145885473086846,0.004157022413396938,0.004020225555350514,9.988316666666666,-0.20911666666666662,-0.021383821444153572,5.3119179333333335,0.04228206666666612,0.007896990524572508,0.06439022925117498,0.0634442407110982,9.9195,-0.14029999999999987,-0.01434677683246072,5.603418000000001,-0.24921800000000172,-0.04654626274700268,0.05188433556798891,0.04812871953035323,9.672766666666668,0.1064333333333316,0.010883644197207503,5.043129733333332,0.31107026666666737,0.05809836514636498,0.012243997753142036,0.012305665320580216,9.604625,0.17457499999999904,0.017851664757853304,5.110863499999999,0.24333650000000073,0.04544777931343632,0.02369084338708354,0.02332909758465151
10.1469,0.0823,0.2869,0.0283,6,0.0255,0.0006,0.0248,0.9748,5.5956,0.0857,0.2928,0.0523,0.0247,0.0006,0.0245,0.9904,63.4728,3.0609,79.7283,1.2328,78.1121,23.726,0.0,97.45,0.07,333.4,8.7,Medium,2.0,2024-07-18 01:00:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,1,0.25881904510252074,0.9659258262890683,9.876,0.27090000000000103,0.026697809183100357,5.921114000000001,-0.32551400000000097,-0.05817320752019461,0.002430133657351066,0.002123924653367541,10.416533333333334,-0.26963333333333317,-0.026572976311320023,5.691463466666667,-0.09586346666666667,-0.017131936998117568,0.014555386308944655,0.01395899908672573,10.244966666666668,-0.09806666666666786,-0.009664692336247312,5.446402533333335,0.14919746666666533,0.02666335454047204,0.06053053694659799,0.059663211574592936,10.43975,-0.2928499999999996,-0.028861031448028422,5.888240666666667,-0.2926406666666672,-0.0522983534682013,0.01810388179793578,0.01681928535303299,9.735133333333334,0.41176666666666684,0.04058053855528948,5.1614352,0.43416480000000046,0.07759039245121174,0.004834722345867469,0.004778309206193856,10.169191666666666,-0.022291666666665932,-0.0021968942895530586,5.465168766666666,0.13043123333333373,0.023309606357376104,0.05231569536418426,0.0510089218775758
10.3984,0.154,0.3924,0.0377,6,0.025,0.0002,0.0126,0.5051,5.7214,0.1479,0.3846,0.0672,0.0238,0.0002,0.0123,0.5182,63.5422,3.1537,79.6531,1.1885,79.1272,23.2943,0.0,97.45,0.07,333.4,8.7,Medium,2.0,2024-07-18 01:10:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,1,0.25881904510252074,0.9659258262890683,10.201358333333332,0.197041666666669,0.018949229368621038,6.065885433333334,-0.34448543333333426,-0.06020998939653481,0.01697404675684537,0.014958239429986434,10.5225,-0.12410000000000032,-0.011934528388982952,5.7149523333333345,0.006447666666665519,0.001126938628074513,0.022317256672210184,0.021531704813869103,10.437641666666668,-0.039241666666667285,-0.003773817766835983,5.5643169,0.15708310000000036,0.02745536057608284,0.036334037781523006,0.03571375191325507,10.9201,-0.5216999999999992,-0.05017118018156631,6.2018644,-0.4804643999999998,-0.08397671898486381,0.03299420334978622,0.03044200708419233,9.7525,0.645900000000001,0.06211532543468235,5.119964666666666,0.6014353333333338,0.10512030854918966,0.004884217721951485,0.004875007600963772,10.556316666666666,-0.15791666666666515,-0.015186631276606511,5.661557266666668,0.059842733333332454,0.010459456310226947,0.03620896809019555,0.03537723937650639
10.4804,0.1403,0.3746,0.0357,6,0.0211,0.0001,0.0122,0.5805,5.7222,0.114,0.3377,0.059,0.0204,0.0001,0.012,0.5866,64.0317,3.2685,79.2,1.2329,76.3395,29.0693,0.0,97.45,0.07,333.4,8.7,Medium,2.0,2024-07-18 01:20:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,1,0.25881904510252074,0.9659258262890683,10.079250000000002,0.4011499999999977,0.03827621083164743,5.992993333333334,-0.27079333333333366,-0.04732329057588579,0.004882969136261839,0.0043032808312819006,10.408933333333334,0.0714666666666659,0.0068190781522333025,5.601281066666667,0.12091893333333292,0.021131546141926694,0.026257893860402004,0.02556878178915648,10.723733333333332,-0.2433333333333323,-0.023217943335496004,5.680036266666668,0.04216373333333223,0.0073684480328077015,0.03835262595116137,0.03794209342137547,11.0922,-0.6118000000000006,-0.058375634517766554,6.2299808,-0.5077807999999999,-0.08873873684946348,0.02877697841726622,0.026847723190415004,10.1689,0.3114999999999988,0.029722148009617838,5.285863600000001,0.4363363999999992,0.07625325923595805,0.013921531991332978,0.014033834193779227,10.409258333333336,0.071141666666664,0.00678806788544941,5.5429790333333315,0.17922096666666842,0.031320290564235506,0.014110035056932459,0.013884681781615508
10.3851,0.1177,0.3431,0.033,6,0.0277,0.0002,0.0155,0.561,5.6774,0.1376,0.371,0.0653,0.027,0.0002,0.0152,0.5646,63.9719,3.1066,79.2,0.9381,77.9739,29.9585,0.0,97.45,0.07,333.4,8.7,Medium,2.0,2024-07-18 01:30:00+00:00,200,-0.2967128192734901,-0.9549667548552553,3,1,0.25881904510252074,0.9659258262890683,10.201858333333336,0.18324166666666386,0.017644670409207794,6.0188811,-0.3414811000000002,-0.0601474442526509,0.0018697573889726903,0.0016606574933007501,10.471616666666666,-0.08651666666666635,-0.008330845795097434,5.651367133333334,0.026032866666665377,0.0045853501015720895,0.02054283245025833,0.01994581676856071,10.250116666666663,0.13498333333333612,0.012997788498265411,5.466197466666667,0.21120253333333228,0.037200573032256365,0.03004518647755225,0.029522265581770228,10.9939,-0.6088000000000005,-0.05862244947087659,6.206055600000001,-0.5286556000000013,-0.09311579244020174,0.037011433613185596,0.03435605700986641,9.987166666666669,0.3979333333333308,0.03831771801266534,5.208449999999999,0.4689500000000004,0.08259942931623639,0.029187457236787128,0.029326575084718032,10.405858333333333,-0.020758333333333212,-0.001998857337274866,5.513469766666667,0.1639302333333328,0.028874173624076654,0.04757496378242066,0.04705032903871372
