pm2.5_atm_mean,pm2.5_atm_var,pm2.5_atm_std,pm2.5_atm_safe_cv,pm2.5_atm_count,pm2.5_atm_a_b_diff_mean,pm2.5_atm_a_b_diff_var,pm2.5_atm_a_b_diff_std,pm2.5_atm_a_b_diff_safe_cv,pm2.5_epa_mean,pm2.5_epa_var,pm2.5_epa_std,pm2.5_epa_safe_cv,pm2.5_epa_a_b_diff_mean,pm2.5_epa_a_b_diff_var,pm2.5_epa_a_b_diff_std,pm2.5_epa_a_b_diff_safe_cv,humidity_mean,humidity_std,temperature_mean,temperature_std,voc_mean,voc_std,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,time_stamp,day_of_year,seasonal_sin,seasonal_cos,day_of_week,hour_of_day,hour_of_day_sin,hour_of_day_cos,pm2.5_atm_LOCREF_189231.csv,pm2.5_atm_consensus_diff_LOCREF_189231.csv,pm2.5_atm_consensus_diff_perc_LOCREF_189231.csv,pm2.5_epa_LOCREF_189231.csv,pm2.5_epa_consensus_diff_LOCREF_189231.csv,pm2.5_epa_consensus_diff_perc_LOCREF_189231.csv,pm2.5_atm_a_b_diff_LOCREF_189231.csv,pm2.5_epa_a_b_diff_LOCREF_189231.csv,pm2.5_atm_LOC43 243949.csv,pm2.5_atm_consensus_diff_LOC43 243949.csv,pm2.5_atm_consensus_diff_perc_LOC43 243949.csv,pm2.5_epa_LOC43 243949.csv,pm2.5_epa_consensus_diff_LOC43 243949.csv,pm2.5_epa_consensus_diff_perc_LOC43 243949.csv,pm2.5_atm_a_b_diff_LOC43 243949.csv,pm2.5_epa_a_b_diff_LOC43 243949.csv,pm2.5_atm_LOCZ42 243271.csv,pm2.5_atm_consensus_diff_LOCZ42 243271.csv,pm2.5_atm_consensus_diff_perc_LOCZ42 243271.csv,pm2.5_epa_LOCZ42 243271.csv,pm2.5_epa_consensus_diff_LOCZ42 243271.csv,pm2.5_epa_consensus_diff_perc_LOCZ42 243271.csv,pm2.5_atm_a_b_diff_LOCZ42 243271.csv,pm2.5_epa_a_b_diff_LOCZ42 243271.csv,pm2.5_atm_LOC40 243951.csv,pm2.5_atm_consensus_diff_LOC40 243951.csv,pm2.5_atm_consensus_diff_perc_LOC40 243951.csv,pm2.5_epa_LOC40 243951.csv,pm2.5_epa_consensus_diff_LOC40 243951.csv,pm2.5_epa_consensus_diff_perc_LOC40 243951.csv,pm2.5_atm_a_b_diff_LOC40 243951.csv,pm2.5_epa_a_b_diff_LOC40 243951.csv,pm2.5_atm_LOC38B 234015.csv,pm2.5_atm_consensus_diff_LOC38B 234015.csv,pm2.5_atm_consensus_diff_perc_LOC38B 234015.csv,pm2.5_epa_LOC38B 234015.csv,pm2.5_epa_consensus_diff_LOC38B 234015.csv,pm2.5_epa_consensus_diff_perc_LOC38B 234015.csv,pm2.5_atm_a_b_diff_LOC38B 234015.csv,pm2.5_epa_a_b_diff_LOC38B 234015.csv,pm2.5_atm_LOC41 245107.csv,pm2.5_atm_consensus_diff_LOC41 245107.csv,pm2.5_atm_consensus_diff_perc_LOC41 245107.csv,pm2.5_epa_LOC41 245107.csv,pm2.5_epa_consensus_diff_LOC41 245107.csv,pm2.5_epa_consensus_diff_perc_LOC41 245107.csv,pm2.5_atm_a_b_diff_LOC41 245107.csv,pm2.5_epa_a_b_diff_LOC41 245107.csv,pm2.5_atm_LOCREFZ32 243301.csv,pm2.5_atm_consensus_diff_LOCREFZ32 243301.csv,pm2.5_atm_consensus_diff_perc_LOCREFZ32 243301.csv,pm2.5_epa_LOCREFZ32 243301.csv,pm2.5_epa_consensus_diff_LOCREFZ32 243301.csv,pm2.5_epa_consensus_diff_perc_LOCREFZ32 243301.csv,pm2.5_atm_a_b_diff_LOCREFZ32 243301.csv,pm2.5_epa_a_b_diff_LOCREFZ32 243301.csv,pm2.5_atm_LOCZ39 243269.csv,pm2.5_atm_consensus_diff_LOCZ39 243269.csv,pm2.5_atm_consensus_diff_perc_LOCZ39 243269.csv,pm2.5_epa_LOCZ39 243269.csv,pm2.5_epa_consensus_diff_LOCZ39 243269.csv,pm2.5_epa_consensus_diff_perc_LOCZ39 243269.csv,pm2.5_atm_a_b_diff_LOCZ39 243269.csv,pm2.5_epa_a_b_diff_LOCZ39 243269.csv
5.2688,0.0907,0.3011,0.0572,8,0.0516,0.0018,0.042,0.8147,4.6103,0.0572,0.2391,0.0519,0.0313,0.0007,0.0261,0.8328,45.25,2.4349,55.5,1.1952,89.625,5.8782,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:00:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,4.9,0.36879999999999935,0.06999696325539011,4.611000000000001,-0.0007000000000010331,-0.0001518339370542119,0.0,0.0,5.1,0.16880000000000006,0.032037655633161265,4.198600000000001,0.41169999999999884,0.08930004555018087,0.01960784313725492,0.012480350593054825,5.2,0.06879999999999953,0.013058001822046677,4.682,-0.07170000000000076,-0.015552133266815775,0.09615384615384615,0.05595899188381043,5.0,0.2687999999999997,0.05101730944427568,4.4048,0.2054999999999998,0.04457410580656352,0.0,0.0,5.85,-0.5811999999999999,-0.11030974795019738,4.6777999999999995,-0.0674999999999999,-0.014641129644491659,0.1111111111111111,0.07281200564367861,5.3,-0.031200000000000117,-0.005921651989067742,4.562,0.04829999999999934,0.010476541656725017,0.05660377358490563,0.0344585708022798,5.5,-0.2312000000000003,-0.043880959611296746,5.0116,-0.4013,-0.08704422705680759,0.0727272727272728,0.04182297070795754,5.3,-0.031200000000000117,-0.005921651989067742,4.734400000000001,-0.12410000000000121,-0.026917987983428676,0.05660377358490563,0.03320378506252112
5.425,0.1114,0.3338,0.0615,8,0.0495,0.0014,0.0377,0.7608,4.7245,0.0748,0.2735,0.0579,0.03,0.0006,0.0235,0.7838,44.875,2.4749,55.5,1.4142,90.625,5.4494,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:10:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,4.8,0.625,0.1152073732718894,4.6448,0.07969999999999988,0.01686951000105829,0.02083333333333335,0.011281433000344567,5.1,0.3250000000000002,0.05990783410138252,4.198600000000001,0.5258999999999991,0.11131336649380869,0.01960784313725492,0.012480350593054825,5.6,-0.17499999999999982,-0.032258064516129004,4.9778,-0.2533000000000003,-0.053614139062334705,0.08928571428571429,0.05263369359958223,5.3,0.125,0.02304147465437788,4.622,0.10250000000000004,0.021695417504497837,0.047619047619047616,0.028342708784076208,5.75,-0.3250000000000002,-0.05990783410138252,4.711600000000001,0.012899999999999245,0.002730447666419567,0.11304347826086962,0.07228966805331517,5.5,-0.07500000000000018,-0.013824884792626762,4.6930000000000005,0.03149999999999942,0.00666737220869921,0.009009009009008978,0.005582782868101475,5.7,-0.27500000000000036,-0.0506912442396314,5.1164000000000005,-0.3919000000000006,-0.08295057678061182,0.07017543859649122,0.040966304432804315,5.65,-0.22500000000000053,-0.04147465437788028,4.8316,-0.10709999999999997,-0.02266906550957773,0.026548672566371664,0.016267902972100293
5.725,0.1571,0.3964,0.0692,8,0.0413,0.0014,0.0377,0.9124,4.8644,0.0696,0.2638,0.0542,0.0249,0.0005,0.0219,0.8816,45.0,2.3905,55.5,1.4142,90.625,5.579,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:20:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,5.0,0.7249999999999996,0.12663755458515277,4.6634,0.20099999999999962,0.041320615080996555,0.019999999999999928,0.011236436934425432,5.5,0.22499999999999964,0.03930131004366806,4.408200000000001,0.45619999999999905,0.0937834059699036,0.01818181818181812,0.011886937979220542,5.7,0.024999999999999467,0.004366812227074143,5.004,-0.13959999999999972,-0.028698297837348848,0.09734513274336287,0.057593924860111965,5.8,-0.07500000000000018,-0.01310043668122274,4.824,0.04039999999999999,0.008305238056080914,0.01724137931034484,0.010862354892205639,6.35,-0.625,-0.1091703056768559,5.026,-0.16159999999999997,-0.033220952224323655,0.023622047244094474,0.015638678869876597,5.6,0.125,0.02183406113537118,4.6930000000000005,0.17139999999999933,0.03523558917852137,0.009009009009008978,0.005582782868101475,5.8,-0.07500000000000018,-0.01310043668122274,5.1688,-0.3044000000000002,-0.06257709069977803,0.10344827586206896,0.06082649744621576,6.05,-0.3250000000000002,-0.0567685589519651,5.1274,-0.2629999999999999,-0.0540662774442891,0.04132231404958678,0.025549011194757536
5.6938,0.1017,0.319,0.056,8,0.0549,0.0014,0.0369,0.6722,4.9051,0.0568,0.2383,0.0486,0.0331,0.0005,0.0231,0.6961,44.375,2.3261,55.75,0.8864,91.0,5.5032,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:30:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,5.2,0.49380000000000024,0.08672591239593948,4.8282,0.07690000000000019,0.015677560090518072,0.0679611650485437,0.03798517045689901,5.6,0.09380000000000077,0.016474059503319535,4.5468,0.35829999999999984,0.07304642107194549,0.0,0.0,5.3,0.3938000000000006,0.06916294917278454,4.820600000000001,0.08449999999999935,0.017226967849788864,0.07547169811320752,0.043480064722233744,5.6,0.09380000000000077,0.016474059503319535,4.8054,0.09970000000000034,0.02032578336833099,0.03571428571428567,0.021808798435093854,5.95,-0.25619999999999976,-0.04499631177772309,4.9026000000000005,0.0024999999999995026,0.0005096736050232417,0.12605042016806722,0.08016154693427972,5.9,-0.20619999999999994,-0.03621483016614562,4.8764,0.028699999999999726,0.005851052985667922,0.033898305084745714,0.02149126404724797,6.0,-0.3061999999999996,-0.05377779338930057,5.3598,-0.4546999999999999,-0.0926994352816456,0.04999999999999997,0.02932945259151461,6.0,-0.3061999999999996,-0.05377779338930057,5.1012,-0.19610000000000039,-0.039978797578031106,0.04999999999999997,0.03081627852270045
5.6875,0.0648,0.2546,0.0448,8,0.0335,0.0006,0.0239,0.715,4.8934,0.0424,0.2059,0.0421,0.0204,0.0002,0.0144,0.7087,44.625,2.3867,55.625,1.0607,92.125,6.0813,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:40:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,5.2,0.4874999999999998,0.08571428571428569,4.880599999999999,0.012800000000000367,0.00261576817754534,0.02857142857142864,0.016104577306068974,5.8,-0.11249999999999982,-0.019780219780219748,4.5654,0.3279999999999994,0.0670290595495973,0.01724137931034484,0.01147763613265003,5.7,-0.012500000000000178,-0.002197802197802229,5.0302,-0.13680000000000003,-0.02795602239751503,0.03508771929824565,0.020834161663552148,5.4,0.28749999999999964,0.05054945054945049,4.7006,0.19280000000000008,0.03940000817427557,0.0,0.0,5.85,-0.16249999999999964,-0.028571428571428508,4.8502,0.04319999999999968,0.008828217599215205,0.059829059829059845,0.03781287369593002,5.9,-0.21250000000000036,-0.037362637362637424,4.9026,-0.009199999999999875,-0.0018800833776106338,0.025210084033613432,0.016032309386856,5.9,-0.21250000000000036,-0.037362637362637424,5.2474,-0.3540000000000001,-0.07234233866023626,0.07563025210084036,0.044936540000762325,5.75,-0.0625,-0.01098901098901099,4.9702,-0.07680000000000042,-0.01569460906527168,0.02608695652173919,0.01581425294756746
5.2625,0.0713,0.2669,0.0507,8,0.0444,0.0008,0.0289,0.6507,4.6824,0.0755,0.2747,0.0587,0.0263,0.0003,0.0174,0.6621,44.375,2.3261,55.5,1.1952,94.75,9.2543,0.0,98.22,0.19,317.1,0.74,Medium,0.0,2025-04-27 00:50:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,0,0.0,1.0,4.8,0.46250000000000036,0.0878859857482186,4.670999999999999,0.011400000000000965,0.002434648898001231,0.030927835051546376,0.01682723185613364,5.1,0.16250000000000053,0.030878859857482285,4.1724,0.5100000000000007,0.10891850333162495,0.02970297029702968,0.018838078803566347,5.4,-0.13750000000000018,-0.02612826603325419,4.8992,-0.2168000000000001,-0.04630104220058092,0.06422018348623856,0.03743468321358594,5.1,0.16250000000000053,0.030878859857482285,4.603400000000001,0.07899999999999974,0.01687168973176143,0.009900990099009866,0.00569144545336051,5.3,-0.037499999999999645,-0.007125890736341975,4.562,0.12040000000000006,0.02571330941397575,0.09433962264150944,0.05743095133713274,5.3,-0.037499999999999645,-0.007125890736341975,4.6482,0.03420000000000023,0.007303946694003124,0.03773584905660381,0.022546362032614776,5.7,-0.4375,-0.0831353919239905,5.1164000000000005,-0.43400000000000016,-0.09268751067828467,0.07017543859649122,0.040966304432804315,5.4,-0.13750000000000018,-0.02612826603325419,4.7868,-0.10440000000000005,-0.022296258329062027,0.018518518518518535,0.010946770284950186
4.8438,0.0453,0.2129,0.0439,8,0.0535,0.0021,0.0456,0.8531,4.4878,0.0428,0.2068,0.0461,0.03,0.0007,0.0255,0.8491,44.125,2.2321,55.625,1.3025,94.375,8.4336,0.0,98.31,0.15,317.7,0.41,Medium,0.0,2025-04-27 01:00:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,1,0.25881904510252074,0.9659258262890683,4.5,0.3437999999999999,0.07097733184689704,4.4876000000000005,0.00019999999999953388,4.4565265831706824e-05,0.022222222222222143,0.01167662001960959,4.7,0.1437999999999997,0.029687435484536874,4.075200000000001,0.4125999999999994,0.09193814341102531,0.0,0.0,4.7,0.1437999999999997,0.029687435484536874,4.48,0.007799999999999585,0.0017380453674405243,0.09677419354838704,0.05263392857142852,4.8,0.04380000000000006,0.009042487303356881,4.4986,-0.010799999999999699,-0.00240652435491771,0.051546391752577324,0.02912017071977944,5.1,-0.25619999999999976,-0.05289235724018328,4.4572,0.03059999999999974,0.0068184856722669765,0.09803921568627452,0.058781297675670925,5.1,-0.25619999999999976,-0.05289235724018328,4.569599999999999,-0.08179999999999943,-0.018227193725210443,0.02912621359223299,0.01720063025210089,5.0,-0.15620000000000012,-0.032247409059003286,4.8358,-0.34799999999999986,-0.07754356254735056,0.11999999999999993,0.06501509574424087,4.85,-0.006199999999999761,-0.0012799867872331147,4.498600000000001,-0.010800000000000587,-0.0024065243549179077,0.01030927835051552,0.005824034143955947
4.6625,0.0534,0.2311,0.0496,8,0.0592,0.0026,0.0514,0.8669,4.383,0.061,0.247,0.0564,0.0323,0.0008,0.0276,0.8564,44.125,2.2952,55.25,1.165,96.625,13.4583,0.0,98.31,0.15,317.7,0.41,Medium,0.0,2025-04-27 01:10:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,1,0.25881904510252074,0.9659258262890683,4.3,0.3624999999999998,0.07774798927613938,4.3828,0.00020000000000042206,4.5630846452297985e-05,0.06976744186046507,0.03586748197499316,4.5,0.16249999999999964,0.034852546916890007,3.9704,0.41259999999999986,0.09413643623089205,0.0,0.0,4.5,0.16249999999999964,0.034852546916890007,4.401400000000001,-0.018400000000000638,-0.0041980378736027005,0.15555555555555559,0.08333712000727041,4.6,0.0625,0.013404825737265416,4.2552,0.1277999999999997,0.02915811088295681,0.01098901098901095,0.006157172400827171,4.75,-0.08750000000000036,-0.01876675603217166,4.2738000000000005,0.10919999999999952,0.024914442162902013,0.07368421052631571,0.042912630445973085,4.9,-0.2375000000000007,-0.05093833780160874,4.4124,-0.02939999999999987,-0.0067077344284736185,0.01030927835051552,0.005937811621793078,5.0,-0.33750000000000036,-0.07238605898123332,4.835800000000001,-0.45280000000000076,-0.1033082363677848,0.08000000000000007,0.043343397162827244,4.75,-0.08750000000000036,-0.01876675603217166,4.5324,-0.14939999999999998,-0.03408624229979466,0.07368421052631571,0.040464213220368854
4.1625,0.037,0.1923,0.0462,8,0.0531,0.0016,0.0402,0.7578,4.1814,0.0584,0.2416,0.0578,0.0276,0.0004,0.0205,0.7441,43.5,2.1381,55.375,1.3025,94.5,8.1416,0.0,98.31,0.15,317.7,0.41,Medium,0.0,2025-04-27 01:20:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,1,0.25881904510252074,0.9659258262890683,4.1,0.0625,0.015015015015015017,4.338,-0.15660000000000007,-0.037451571244080946,0.012345679012345635,0.00603964960811439,4.0,0.16249999999999964,0.03903903903903896,3.7683999999999997,0.41300000000000026,0.09877074663988145,0.012658227848101276,0.006952552807557585,4.1,0.0625,0.015015015015015017,4.3042,-0.1227999999999998,-0.02936815420672497,0.10843373493975897,0.05478369964220989,3.9,0.26249999999999973,0.063063063063063,4.027,0.15439999999999987,0.03692543167360211,0.012658227848101276,0.006506083933449273,4.1,0.0625,0.015015015015015017,4.0194,0.16199999999999992,0.03874300473525612,0.07317073170731714,0.03911031497238399,4.3,-0.13750000000000018,-0.03303303303303308,4.150399999999999,0.031000000000000583,0.007413784856746684,0.03448275862068964,0.01893793369313807,4.5,-0.33750000000000036,-0.08108108108108117,4.5476,-0.3662000000000001,-0.08757832304969629,0.10112359550561802,0.05185152607969044,4.3,-0.13750000000000018,-0.03303303303303308,4.2966,-0.11519999999999975,-0.027550581145070967,0.06976744186046507,0.036587068845133366
3.8938,0.0417,0.2043,0.0525,8,0.0465,0.0021,0.0459,0.9875,4.0664,0.0567,0.2382,0.0586,0.0227,0.0005,0.0222,0.9766,43.125,2.2321,55.625,1.0607,96.125,10.3432,0.0,98.31,0.15,317.7,0.41,Medium,0.0,2025-04-27 01:30:00+00:00,117,0.9033558023246845,-0.4288919379124835,6,1,0.25881904510252074,0.9659258262890683,3.6,0.29380000000000006,0.07545328470902461,4.102200000000001,-0.03580000000000094,-0.00880385599055699,0.055555555555555546,0.025547267319974698,3.9,-0.006199999999999761,-0.0015922748985566185,3.716,0.3503999999999996,0.08616958489081242,0.012987012987013,0.00705059203444564,3.9,-0.006199999999999761,-0.0015922748985566185,4.147,-0.08060000000000045,-0.019820971867007785,0.14285714285714293,0.06949602122015915,3.7,0.19379999999999997,0.0497714315064975,3.9822,0.08419999999999961,0.02070627582136524,0.02702702702702699,0.013158555572296721,3.75,0.14380000000000015,0.036930504905234,3.8360000000000003,0.2303999999999995,0.056659453078890296,0.013333333333333286,0.006830031282586027,4.0,-0.10619999999999985,-0.027274128101083733,4.0532,0.013199999999999434,0.003246114499311291,0.0,0.0,4.2,-0.3062,-0.07863783450613797,4.502800000000001,-0.4364000000000008,-0.10731851268935688,0.07142857142857144,0.03491161055343341,4.1,-0.2061999999999995,-0.05295598130361074,4.1918,-0.12539999999999996,-0.03083808774345858,0.048780487804878044,0.025001192805000242
