time_stamp,humidity,temperature,voc,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm2.5_atm,pm2.5_atm_a_b_diff,pm2.5_epa_a,pm2.5_epa_b,pm2.5_epa,pm2.5_epa_a_b_diff,dewpoint,dewpoint_temp_delta,pm2.5_atm_epa_diff,ALLSKY_SFC_SW_DWN,PS,WS2M,WD2M,PRECTOTCORR,smoke_density,smoke_density_numeric,reference_monitor_days,pm2.5_atm_diff,pm2.5_atm_a_b_diff_coloc,pm2.5_atm_a_b_max_diff,pm2.5_epa_diff,pm2.5_epa_a_b_diff_coloc,pm2.5_epa_a_b_max_diff,pm2.5_atm_coloc,pm2.5_epa_coloc,humidity_coloc,humidity_diff,temperature_coloc,dewpoint_coloc,voc_coloc,pm2.5_atm_epa_diff_coloc,cohort,monitor
2025-03-21 18:00:00+00:00,21.8,57.6,67.358,2.938,2.823,,2.8805,0.01996181218538452,5.4103520000000005,5.350092,5.380222,0.0056001406633406975,18.78723861263382,38.81276138736618,-2.4997219999999998,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.75,0.12850000000000028,0.003997093023255778,0.01996181218538452,-0.22583220000000015,0.001028174147870369,0.0056001406633406975,2.752,5.6060542,18.399,3.401,61.2,17.828382440746328,91.349,-2.8540542,3.25-5.25,LOCZ33 243261.csv
2025-03-21 18:10:00+00:00,21.199,58.399,68.891,2.486,2.81,,2.648,0.06117824773413894,5.2253102,5.3950862,5.3101982,0.01598584399354432,18.804143574038854,39.59485642596115,-2.6621982,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.75694444444446,0.383,0.07284768211920531,0.07284768211920531,-0.12686799999999998,0.01590195830243895,0.01598584399354432,2.265,5.4370662,17.399,3.8000000000000007,62.2,17.35124280878492,92.384,-3.1720662,3.25-5.25,LOCZ33 243261.csv
2025-03-21 18:20:00+00:00,20.399,58.399,58.621,2.362,2.351,,2.3565,0.0023339698705707873,5.2292942,5.2235302,5.2264122,0.0005514299082648037,17.9079525323316,40.4910474676684,-2.8699122000000004,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.76388888888889,0.29499999999999993,0.06912442396313367,0.06912442396313367,-0.08669379999999993,0.014053926272127872,0.014053926272127872,2.0615,5.313106,17.6,2.7989999999999995,61.6,17.126617773804185,91.379,-3.251606,3.25-5.25,LOCZ33 243261.csv
2025-03-21 18:30:00+00:00,19.399,59.6,60.466,1.987,2.137,,2.0620000000000003,0.036372453928224996,5.1189941999999995,5.1975942,5.1582942,0.007618797702542894,17.737385291117587,41.86261470888242,-3.0962942,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.77083333333334,0.3085000000000002,0.1770744225834046,0.1770744225834046,-0.14857980000000026,0.030658726775875948,0.030658726775875948,1.7535,5.3068740000000005,15.8,3.599,63.6,16.25975367623461,94.725,-3.5533740000000007,3.25-5.25,LOCZ33 243261.csv
2025-03-21 18:40:00+00:00,19.199,60.2,64.278,2.033,2.085,,2.059,0.012627489072365236,5.1603382,5.1875862,5.1739622,0.002633185066562736,17.993015004949516,42.20698499505049,-3.1149622,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.77777777777777,0.4790000000000001,0.10569620253164559,0.10569620253164559,-0.04199780000000075,0.01677696914853644,0.01677696914853644,1.58,5.215960000000001,15.8,3.399000000000001,62.399,15.288687497374578,95.2,-3.6359600000000007,3.25-5.25,LOCZ33 243261.csv
2025-03-21 18:50:00+00:00,19.0,58.6,51.206,2.024,2.339,,2.1814999999999998,0.07219802887921155,5.172776,5.337836,5.255306,0.015704128360936587,16.428825177816357,42.171174822183644,-3.0738060000000003,2.79,97.4,0.81,272.1,0.0,Light,0.0,246.78472222222223,0.2829999999999997,0.0487226757966816,0.07219802887921155,-0.05858799999999942,0.00912137125806424,0.015704128360936587,1.8985,5.3138939999999995,16.6,2.3999999999999986,60.0,14.474166992238679,91.382,-3.415393999999999,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:00:00+00:00,19.0,59.0,52.015,1.691,2.25,,1.9705,0.14184217203755392,4.998284,5.2912,5.144742,0.028467511101625695,16.759404735381388,42.24059526461861,-3.174242,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.79166666666666,0.07699999999999996,0.13651967256403488,0.14184217203755392,-0.18385820000000042,0.025420184460451682,0.028467511101625695,1.8935,5.3286002,16.399,2.600999999999999,61.399,15.332591416929233,91.049,-3.4351002000000004,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:10:00+00:00,18.0,60.2,61.601,1.508,2.08,,1.794,0.15942028985507248,4.988592,5.28832,5.138456,0.029165181136123382,16.498539989021722,43.70146001097828,-3.3444559999999997,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.79861111111111,-0.12749999999999995,0.07676294561540462,0.15942028985507248,-0.32540999999999976,0.014145661698145615,0.029165181136123382,1.9215,5.4638659999999994,15.0,3.0,62.2,13.938972005639645,95.159,-3.5423659999999995,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:20:00+00:00,17.6,60.0,69.206,1.895,2.032,,1.9635,0.034886681945505475,5.22586,5.297648000000001,5.261754,0.006821679614820517,15.816379924771681,44.18362007522832,-3.298254,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.80555555555554,0.3154999999999999,0.061893203883495125,0.061893203883495125,-0.0760380000000005,0.01001312902413581,0.01001312902413581,1.6480000000000001,5.337792,14.8,2.8000000000000007,62.799,14.113948973177607,96.581,-3.689792,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:30:00+00:00,17.199,59.799,60.984,1.899,1.975,,1.937,0.019617965926690777,5.2625222,5.302346200000001,5.282434200000001,0.0037694743078863432,15.122276263391282,44.67672373660872,-3.3454342000000006,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.8125,0.020000000000000018,0.006259780907668237,0.019617965926690777,-0.1790737999999994,0.0011513303651664755,0.0037694743078863432,1.917,5.461508,15.0,2.1990000000000016,62.0,13.77811277057723,94.969,-3.5445080000000004,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:40:00+00:00,17.199,60.2,52.121,2.116,2.121,,2.1185,0.0011800802454566659,5.3762302,5.3788502000000005,5.3775402,0.00024360580326301314,15.449936077581295,44.750063922418704,-3.2590402000000003,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.81944444444446,0.3719999999999999,0.06384196965359291,0.06384196965359291,0.005374200000000329,0.010875687757973202,0.010875687757973202,1.7465000000000002,5.372166,15.0,2.1990000000000016,61.799,13.616434933653345,94.147,-3.625666,3.25-5.25,LOCZ33 243261.csv
2025-03-21 19:50:00+00:00,16.0,60.799,58.051,1.81,2.148,,1.979,0.08539666498231431,5.31924,5.496352,5.407795999999999,0.016375617719307477,14.281474253398674,46.51752574660132,-3.4287959999999993,2.19,97.35,0.78,267.8,0.0,Light,0.0,246.82638888888889,0.19900000000000007,0.07359550561797754,0.08539666498231431,-0.10269020000000051,0.012456977026818418,0.016375617719307477,1.78,5.5104862,13.599,2.401,63.0,12.35032600857349,95.691,-3.7304861999999996,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:00:00+00:00,16.0,61.2,73.134,1.764,1.929,,1.8465,0.044679122664500415,5.295136,5.381596,5.338366000000001,0.008097983540281779,14.606426018762765,46.59357398123724,-3.491866000000001,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.83333333333334,0.38250000000000006,0.021174863387978162,0.044679122664500415,-0.041016199999999614,0.0030196776127935144,0.008097983540281779,1.464,5.3793822,13.199,2.801,64.599,12.942807737945476,98.936,-3.9153822000000003,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:10:00+00:00,16.0,59.799,64.751,1.604,1.556,,1.58,0.015189873417721532,5.211296,5.1861440000000005,5.19872,0.0024190569986457626,13.470877757874412,46.32812224212559,-3.6187199999999997,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.84027777777777,0.391,0.05971404541631619,0.05971404541631619,0.03248399999999929,0.007201374462955237,0.007201374462955237,1.189,5.1662360000000005,14.0,2.0,61.799,12.050727438558656,96.359,-3.9772360000000004,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:20:00+00:00,15.199,61.399,77.256,1.26,1.481,,1.3705,0.08062750820868299,5.1000862,5.2158902000000005,5.1579882,0.011225694545016667,13.594611678495813,47.80438832150419,-3.7874882000000003,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.84722222222223,0.25,0.08969210174029454,0.08969210174029454,-0.07579379999999958,0.010061939912667316,0.011225694545016667,1.1205,5.233782,12.8,2.398999999999999,63.799,11.615145449335078,99.615,-4.113282,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:30:00+00:00,14.8,63.399,119.865,1.37,1.092,,1.231,0.11291632818846467,5.19212,5.046448,5.119284,0.014227770914838895,14.59560915647264,48.80339084352736,-3.8882840000000005,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.85416666666666,0.05499999999999994,0.14455782312925172,0.14455782312925172,-0.21253999999999973,0.016707228145565203,0.016707228145565203,1.1760000000000002,5.331824,12.0,2.8000000000000007,67.0,12.673252644069489,106.358,-4.155824,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:40:00+00:00,14.8,62.0,103.632,1.227,1.237,,1.2320000000000002,0.0040584415584415615,5.1171880000000005,5.122428,5.119808000000001,0.0005117379401727261,13.4723388969091,48.5276611030909,-3.8878080000000006,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.86111111111111,0.24300000000000022,0.1456016177957533,0.1456016177957533,-0.045067999999998776,0.01460945044953644,0.01460945044953644,0.989,5.164876,12.8,2.0,64.2,11.931890095964334,99.495,-4.175876,3.25-5.25,LOCZ33 243261.csv
2025-03-21 20:50:00+00:00,14.599,60.399,94.903,0.672,1.106,,0.889,0.24409448818897642,4.8436942,5.0711102,4.9574022,0.022937013260695274,11.87689440058859,48.52210559941141,-4.0684021999999995,1.95,97.31,0.72,258.8,0.0,Light,0.0,246.86805555555554,-0.1665000000000001,0.05542396968261492,0.24409448818897642,-0.2250798000000005,0.0059149264773134145,0.022937013260695274,1.0555,5.182482,13.0,1.5990000000000002,61.799,10.381919096869321,96.707,-4.126982,3.25-5.25,LOCZ33 243261.csv
